oid	historical_paths	pre_prune_reachability	historical_patch_state	historical_unique_commit_count	confirmed_unique	protection	recovery_ref	verification
0159d2e412f232ce59711b05eba3754b22d1a909	/tmp/cs-m6-q-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/0159d2e4	verified
017c64af7c192398c2d5e7e2ff948781e5dedc29	/tmp/cs-7.4b5e	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/017c64af	verified
01e60296e33e47390c67b0d20a655db38d7f2e4e	/tmp/cs-m6-p9-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/01e60296	verified
02d86ffaecaf30a8e783d1bb5c2428fd79ec6820	/tmp/cs-verification-engine-m1	registration-only	patch-equivalent	2	no	recovery-ref	refs/recovery/historical-worktrees/02d86ffa	verified
057d0799323364281c013f9cdc5d311f67da79d4	/tmp/cs-security-hs2b	registration-only	unique	1	yes	recovery-ref	refs/recovery/historical-worktrees/057d0799	verified
066e135a457af3b74b5e5dc67ec526937538c452	/tmp/cs-m6-q1-admission	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/066e135a	verified
067a5ec8d53820250be4f24b1e03127596732ad0	/tmp/cs-m6-v-w1-plan	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/067a5ec8	verified
076f235efcd7b559e57a6309b09759dde8e2254e	/tmp/coding-standards-ppr-c2-special;/tmp/coding-standards-ppr-c2-special-final	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/076f235e	verified
07ff9924b9589621e9b3f9816cb1ae17b5f67eee	/tmp/cs-verifier-tooling-reference-freeze	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/07ff9924	verified
0c9d38f1cf37b5a1cdc183332bc13c02c2ce8ff9	/tmp/cs-ve083-probe	recorded-ref	not-needed	0	no	recovery-ref	refs/recovery/historical-worktrees/0c9d38f1	verified
0d9e79ea45de4cb956938a7689a86f9b5b034082	/tmp/cs-m6-t5	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/0d9e79ea	verified
0f60ecaead6bd5dadfdb0deceb172ec05e6f4bf3	/tmp/cs-ve054-option1	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/0f60ecae	verified
0f7b4b8818cd3f23e0e1818c481fea30097877eb	/tmp/cs-i10-admit2	registration-only	patch-equivalent	1	no	recovery-ref	refs/recovery/historical-worktrees/0f7b4b88	verified
