source_branch	source_tip	source_commit	source_subject	patch_id	mapping_state	accepted_commit	accepted_subject	subject_relation	integration_mode	verification_result	accepted_candidate_count	parent_count
codex/generic-edge-correctness	0b21ccc526d1496c6855790f47db426c7c909c94	0b21ccc526d1496c6855790f47db426c7c909c94	fix(graph): harden group and dependency traversal	ccbec07d10d0003173082231dacc1fa2cde8df6b	unique-replacement	9c8e1f46b919a8c62361f7261d5e93f256f3a18e	fix(graph): harden group and dependency traversal	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/generic-edge-system	b3396023ff685f1a27056b3c8eed2b881e19e365	d936d54312a571de4be6b20304a10e452f3fe7bc	docs(standards): admit generic edge recovery	091c662b51a0aa6e70e6b69acadc4aee65f9333d	unique-replacement	a6a0fae4797a9b5d25d43126564e33295ae23274	docs(standards): admit generic edge recovery	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/generic-edge-system	b3396023ff685f1a27056b3c8eed2b881e19e365	f2b26f965cf04f088c1fa90ca248ae69f74c037b	feat(graph): add neutral directed edge engine	f64781e8d863adee20e0c36fe4330f4fd9cb1539	unique-replacement	ad8d0fb9f9bd5d6ec7c10d552bcf2a586cb5ccb7	feat(graph): add neutral directed edge engine	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/generic-edge-system	b3396023ff685f1a27056b3c8eed2b881e19e365	b3396023ff685f1a27056b3c8eed2b881e19e365	feat(graph): migrate permanent graph consumers	0a384f3885ddf170c4953e854dfb51c5e6a8cd15	unique-replacement	3c4a0e786b3a620cbb36aa2f6da278e0bc0a5003	feat(graph): migrate permanent graph consumers	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c1-admission	434ea84e64b6ca88b705920aa16164068500d1a2	434ea84e64b6ca88b705920aa16164068500d1a2	docs(verification): admit bounded section text	fe734f92b721d1cb86d8868ddfc5558c718eb0c8	unique-replacement	1b00df5627543cc6aec96c119563eb641b9dcdce	docs(verification): admit bounded section text	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c1-implementation	edd07142e6cef6920968c3e75dcb9990df41b317	edd07142e6cef6920968c3e75dcb9990df41b317	feat(verification): add bounded section text	547b5793cde80ec5856ee34abdb157725fae28b5	unique-replacement	026b38181911bbd0fa211ddc2c310197a4ceeb39	feat(verification): add bounded section text	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c2-admission	6418bd3c5508665af4ce3db8f91dd5d0d6fd3082	6418bd3c5508665af4ce3db8f91dd5d0d6fd3082	docs(verification): admit derived keyed relation	ca8437767d51020e13af76b7df719740a26a0187	unique-replacement	e8bd28d2c22cd678f8b64c40368e233d42f43915	docs(verification): admit derived keyed relation	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c2-implementation	7c1db35ecf385bedec9ae8afebc60af2c842a822	7c1db35ecf385bedec9ae8afebc60af2c842a822	feat(verification): add derived keyed relation	e02622683067f743238fc54c5a01e2797cf6a4d7	unique-replacement	e40361dafa7a338cfaa5f18adabb1a9c6126456c	feat(verification): add derived keyed relation	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c3-admission	416d6beecbf35f51524cae4b1ac733455d57b4d2	416d6beecbf35f51524cae4b1ac733455d57b4d2	docs(verification): admit heading cardinality	eee9808a468bdbab6ac619cc313929e41344b2dd	unique-replacement	ffa39d9fbd37ca84fb1b930d5081eece0c6cb2a4	docs(verification): admit heading cardinality	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
codex/m6-c3-implementation	067a7f3e40cc6ddc15a0f504a1a180c054bb6ea7	067a7f3e40cc6ddc15a0f504a1a180c054bb6ea7	feat(verification): add heading cardinality	bff63b452f65f30e037b04f8e039e3df97107bbf	unique-replacement	8df494fbd80090c1587c2ca34897a91c44c7670a	feat(verification): add heading cardinality	exact	reconstructed-replacement-lineage	accepted-main-unique-patch-and-semantic-subject	1	1
