branch	tip	ancestry_to_main	patch_state	unique_commit_count	checkout_path	checkout_registration	explicit_purpose	disposition
codex/generic-edge-correctness	0b21ccc526d1496c6855790f47db426c7c909c94	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/generic-edge-system	b3396023ff685f1a27056b3c8eed2b881e19e365	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c1-admission	434ea84e64b6ca88b705920aa16164068500d1a2	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c1-implementation	edd07142e6cef6920968c3e75dcb9990df41b317	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c2-admission	6418bd3c5508665af4ce3db8f91dd5d0d6fd3082	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c2-implementation	7c1db35ecf385bedec9ae8afebc60af2c842a822	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c3-admission	416d6beecbf35f51524cae4b1ac733455d57b4d2	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c3-implementation	067a7f3e40cc6ddc15a0f504a1a180c054bb6ea7	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c4-admission	0e70d5e22189ab361ac039ec7a97a2ea25b10048	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-c4-implementation	15eadf60e70fbf12e76978267ae83396b773d185	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-s-admission	c7c89467a3db0127a416eadecc785f6a22de3ac1	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-s1	169321a4251109293dbc299dceb664b9a1272752	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-s2	e938d5ea0a6c9ddae3639f7ff66a0fdfb9969f8c	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-s3	8e09f1f52b4bdc1d179a0988a7d25bf58cf3203f	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-u0-repreflight	3c971e5230d670aed87f407a9b9a803cfdfde198	divergent	patch-equivalent	0	none	none	not-recorded	candidate-map-review
codex/m6-u1-proposal	7f85995fc29fc1fcc01ae86cc48afe779e6f1da4	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u10-proposal	0dc1ae2f01a00afcc705e888a34afce7432281ad	divergent	unique	1	none	none	not-recorded	retain-unique-review
