worktree	head	branch	registration	path_state	locked	disposition
/media/jeremy/OrangeCream/Linux Software/repos/owned/developer-tooling/Coding-Standards	8cce95b27220faa3ed115542c7242464d04df225	main	current	present	no	retain-review
/tmp/coding-standards-generated-repair	d639f21159ad97fe1c4a94c0c44ddc1a189d0253	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-plan-consumers	89584f65b348b65e964a749ef5cea9fde0875b90	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-planning-profile	5f2de05bdd6c4a51c7def0bcd9aa81c4be6d558e	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-planning-profile-final	98cb81bff57bfeaf0648888ec59546cfff430224	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-planning-recovery	123cb3cf2a0029149ed19751269fa2cefac3f8f0	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-ppr-c1	8da6e812a233742965e819e6ccad55a31a04f013	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-ppr-c2-history	e8769e174c9185eaf55c8b57b5b63dfd6ab9fea9	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-ppr-c2-special	076f235efcd7b559e57a6309b09759dde8e2254e	detached	prunable	missing	no	candidate-prune-registration
/tmp/coding-standards-ppr-c2-special-final	076f235efcd7b559e57a6309b09759dde8e2254e	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b5d	6052c672ab1ad1335964ccf47d257d2b7990a756	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b5e	017c64af7c192398c2d5e7e2ff948781e5dedc29	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b5f	f1a7a6901d1198f307ae07934d1420bef8aac335	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b6	e6b3ab9a288b70dec04fdd9d4c8497b74975d8f9	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7a	cde186762505a7538ecc9484eca7005d41f33929	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7b	fae932437bdee87a70892d9cb834dd2aeb46c4fd	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7c	6319a55759027fb6c718ef964220912f30ac05df	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7d	2e1e101c51ee1d3a604c437cd32143110615a3bc	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7e	9658c18beb4ca710e7519e5467f02a8c18699d5a	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b7f	db5c9c1e018952d6ab3a3920c1dbd278e3ce7b0a	detached	prunable	missing	no	candidate-prune-registration
