oid	commit_disposition	reference	authority
0159d2e412f232ce59711b05eba3754b22d1a909	archived-ref	refs/recovery/historical-worktrees/0159d2e4	none
017c64af7c192398c2d5e7e2ff948781e5dedc29	archived-ref	refs/recovery/historical-worktrees/017c64af	none
01e60296e33e47390c67b0d20a655db38d7f2e4e	archived-ref	refs/recovery/historical-worktrees/01e60296	none
02d86ffaecaf30a8e783d1bb5c2428fd79ec6820	archived-ref	refs/recovery/historical-worktrees/02d86ffa	none
057d0799323364281c013f9cdc5d311f67da79d4	archived-ref	refs/recovery/historical-worktrees/057d0799	none
066e135a457af3b74b5e5dc67ec526937538c452	archived-ref	refs/recovery/historical-worktrees/066e135a	none
067a5ec8d53820250be4f24b1e03127596732ad0	archived-ref	refs/recovery/historical-worktrees/067a5ec8	none
076f235efcd7b559e57a6309b09759dde8e2254e	archived-ref	refs/recovery/historical-worktrees/076f235e	none
07ff9924b9589621e9b3f9816cb1ae17b5f67eee	archived-ref	refs/recovery/historical-worktrees/07ff9924	none
0c9d38f1cf37b5a1cdc183332bc13c02c2ce8ff9	archived-ref	refs/recovery/historical-worktrees/0c9d38f1	none
0d9e79ea45de4cb956938a7689a86f9b5b034082	archived-ref	refs/recovery/historical-worktrees/0d9e79ea	none
0f60ecaead6bd5dadfdb0deceb172ec05e6f4bf3	archived-ref	refs/recovery/historical-worktrees/0f60ecae	none
0f7b4b8818cd3f23e0e1818c481fea30097877eb	archived-ref	refs/recovery/historical-worktrees/0f7b4b88	none
0fb939d608b37e3d4b3b47f6dd23c1c9842a2d70	archived-ref	refs/recovery/historical-worktrees/0fb939d6	none
1001a1b6f4885e281b8cd4a4c74555ed261dc601	archived-ref	refs/recovery/historical-worktrees/1001a1b6	none
11aad3abe1403f9ea2bfbb9abb6909cb270a9dfe	archived-ref	refs/recovery/historical-worktrees/11aad3ab	none
123cb3cf2a0029149ed19751269fa2cefac3f8f0	archived-ref	refs/recovery/historical-worktrees/123cb3cf	none
