branch	tip	ancestry_to_main	patch_state	unique_commit_count	checkout_path	checkout_registration	explicit_purpose	disposition
codex/m6-u1-proposal	7f85995fc29fc1fcc01ae86cc48afe779e6f1da4	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u10-proposal	0dc1ae2f01a00afcc705e888a34afce7432281ad	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u11-proposal	e91e77a5d35fed02992513661b9a8e08dcda69d4	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u12-proposal	cbbb4c2699d75b9e0e8b58d237f5055038cb797b	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u2-proposal	8945e1f95bc3cb08c1dbe5cfa2a3eec322de7799	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u3-proposal	b301e7ae893a86666567d240d75f7b3d63166bc4	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u4-proposal	e59cabe1dc6db258cc2557649f69b6e969fd01dd	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u5-proposal	d73d2c9d73f671bc6c583a8725097a65854ba984	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u6-proposal	e0866fb47eae6427ef79465bd4ba7b2c1941d765	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u7-proposal	943826651d81cf1ad282056234b5a1d014084ec7	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u8-proposal	d3611f3d448137690a3d00b937d3f6b55868b5a6	divergent	unique	1	none	none	not-recorded	retain-unique-review
codex/m6-u9-proposal	ea9c8580e29bbccd0e40745d02536d27b8f12eb9	divergent	unique	1	none	none	not-recorded	retain-unique-review
main	e9532bc550b91b556342e3aebe2a4bf883793afe	ancestral	not-needed	0	/media/jeremy/OrangeCream/Linux Software/repos/owned/developer-tooling/Coding-Standards	current	not-recorded	retain-integration
