branch	source_commit	source_subject	proposed_suite	proposed_removed_checker	superseding_commit	superseding_subject	current_suite_state	current_checker_state	registry_state	terminal_disposition	cleanup_disposition
codex/m6-u1-proposal	7f85995fc29fc1fcc01ae86cc48afe779e6f1da4	feat(verification): prepare contract adapter suite	evaluation/standards-effectiveness/suites/contract-http-adapter-proof.toml	evaluation/standards-effectiveness/verify-contract-http-adapter-proof.sh	f25bcf2ab40bbb5c931466d63a2cb2560da0623d	feat(verification): migrate contract adapter proof	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u10-proposal	0dc1ae2f01a00afcc705e888a34afce7432281ad	feat(verification): prepare plan template suite	evaluation/standards-effectiveness/suites/plan-template-projection.toml	evaluation/standards-effectiveness/verify-plan-template-projection.sh	c48910f9d326ddc442da25b06a231fe67c772e9d	feat(verification): migrate plan template projection	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u11-proposal	e91e77a5d35fed02992513661b9a8e08dcda69d4	feat(verification): prepare review template suite	evaluation/standards-effectiveness/suites/review-template-projection.toml	evaluation/standards-effectiveness/verify-review-template-projection.sh	4ba2f6f3f584fc7e5f58b85c67ef81f9e938b42a	feat(verification): migrate review template projection	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u12-proposal	cbbb4c2699d75b9e0e8b58d237f5055038cb797b	feat(verification): prepare Rust no-std suite	evaluation/standards-effectiveness/suites/rust-no-std-closure.toml	evaluation/standards-effectiveness/verify-rust-no-std-closure.sh	8e52354c2584bd9a094ddb411983fd6b162e5ceb	feat(verification): migrate Rust no_std closure	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u2-proposal	8945e1f95bc3cb08c1dbe5cfa2a3eec322de7799	feat(verification): prepare frontend applicability suite	evaluation/standards-effectiveness/suites/frontend-applicability.toml	evaluation/standards-effectiveness/verify-frontend-applicability.sh	7341f9bb3bb39ed70f13cc38e48b6f783e6e8cec	feat(verification): migrate frontend applicability	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u3-proposal	b301e7ae893a86666567d240d75f7b3d63166bc4	feat(verification): prepare frontend lifecycle suite	evaluation/standards-effectiveness/suites/frontend-lifecycle-work.toml	evaluation/standards-effectiveness/verify-frontend-lifecycle-work.sh	8b144cc5694598f43ff90f1bff94aed95db8a970	feat(verification): migrate frontend lifecycle work	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u4-proposal	e59cabe1dc6db258cc2557649f69b6e969fd01dd	feat(verification): prepare frontend tooling suite	evaluation/standards-effectiveness/suites/frontend-typescript-tooling.toml	evaluation/standards-effectiveness/verify-frontend-typescript-tooling.sh	a0630251017d19b160f533d4c7cb9ab8a9b41fb7	feat(verification): migrate frontend TypeScript tooling	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u5-proposal	d73d2c9d73f671bc6c583a8725097a65854ba984	feat(verification): prepare durable mutation suite	evaluation/standards-effectiveness/suites/persistence-durable-mutation.toml	evaluation/standards-effectiveness/verify-persistence-durable-mutation.sh	e144b8b50464b3e4799dd4e978969644c60b3681	feat(verification): migrate durable mutation proof	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u6-proposal	e0866fb47eae6427ef79465bd4ba7b2c1941d765	feat(verification): prepare migration execution suite	evaluation/standards-effectiveness/suites/persistence-migration-execution.toml	evaluation/standards-effectiveness/verify-persistence-migration-execution.sh	15ae479f26b533c4f96aa1869c4b9c62a502b43e	feat(verification): migrate persistence execution proof	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u7-proposal	943826651d81cf1ad282056234b5a1d014084ec7	feat(verification): prepare planning admission suite	evaluation/standards-effectiveness/suites/planning-admission.toml	evaluation/standards-effectiveness/verify-planning-admission.sh	62f7bc92834d29576af0c5b4fac1c891972d4977	feat(verification): migrate planning admission	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u8-proposal	d3611f3d448137690a3d00b937d3f6b55868b5a6	feat(verification): prepare implementation prompt suite	evaluation/standards-effectiveness/suites/plan-implementation-entrypoint.toml	evaluation/standards-effectiveness/verify-plan-implementation-entrypoint.sh	d908e7b056e0ec7e8eb97c6fe8e95d4263620a81	feat(verification): migrate plan implementation entrypoint	present	absent	registered	superseded	retain-pending-unique-discard-authority
codex/m6-u9-proposal	ea9c8580e29bbccd0e40745d02536d27b8f12eb9	feat(verification): prepare review prompt suite	evaluation/standards-effectiveness/suites/full-review-prompt-entrypoint.toml	evaluation/standards-effectiveness/verify-full-review-prompt-entrypoint.sh	8053fa7f1f19ea8cd2f9439c5a5cebbf9eff10b7	feat(verification): migrate full review prompt entrypoint	present	absent	registered	superseded	retain-pending-unique-discard-authority
