consumer	representation	selector	claim_class	disposition	replacement_authority	migration_package
evaluation/standards-effectiveness/suites/accessibility-evidence-closure.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/accessibility-media.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/architecture-population.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/binding-artifact-composition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/coding-dependency-route.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/contract-boundary-proof.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/contract-invariants.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/core-code-discipline.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/core-constants.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/core-simplicity.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/dependency-audit-lineage.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/disabled-behavior-claims.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/gui-smoke-evidence.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/implementation-disabled-lifecycle.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/licensing-owner-contract.toml	suite	accepted-plan	historical-acceptance	remove-active-plan-consumption	local-current-contract+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-f018-decomposition.toml	suite	accepted-plan-state	historical-acceptance,obsolete-orchestration	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-19-structure.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-20-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-21-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-22-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-23-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-24-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
evaluation/standards-effectiveness/suites/milestone-7-row-25-decomposition.toml	suite	accepted-plan-state	historical-acceptance	remove-active-plan-consumption	canonical-migration-tables+execution-ledger	PPR-C1
