operation,baseline_samples,candidate_samples,baseline_median_s,candidate_median_s,baseline_min_s,baseline_max_s,candidate_min_s,candidate_max_s,speedup,latency_reduction_percent
snapshot_capture,3,3,15.019866425999993,2.528961834000029,14.890632722999982,16.236980419999995,2.287575577000098,2.572690020000209,5.939143178860572,83.16255443109472
explicit_policy_read,9,9,3.0588333129999796,0.8148914400001104,2.9010077629999955,3.255451574999995,0.7987339559999782,0.8385935620001419,3.7536697072183816,73.35940351712405
policy_inspection,3,3,3.015771655000009,0.8076424690000295,2.9135304149999683,3.0704643720000036,0.800512198999968,0.9034836680000353,3.734042934535057,73.21937595437653
explicit_route,3,3,3.1109436350000124,0.9913638049999918,3.1092030869999974,3.2566602630000148,0.9836640379999153,0.9995798140000716,3.1380443983427844,68.133019388505
prepare_same_snapshot,3,3,6.242845845000005,0.8283077700000376,5.909685318000015,6.278843144000007,0.823704090000092,0.8580551289999221,7.536867419461394,86.7318881393901
resolve_same_snapshot,3,3,12.357862506999993,0.8505200090000926,12.072353682000028,12.623128293999997,0.8416580640000575,0.882719305000137,14.529772816901064,93.11757993327467
reopened_policy_read,6,6,2.9776871140000054,0.8768784975000017,2.859205139999972,3.0800298209999823,0.7955287659999613,0.9398860119999881,3.3957807409914276,70.55169116401663
open_existing_store,6,6,0.004550776000002088,0.004578460499828907,0.0038804929999969318,0.004863894000010305,0.004255169999851205,0.005030520999980581,0.9939533168784893,-0.60834679243289
identity_frame,5,5,0.3486741819999679,0.18078102699973897,0.3381363930000134,0.3542716259998997,0.17432523899969965,0.1994810910000524,1.9287100410181395,48.15187463471109
identity_encode,5,5,2.2139923720001207,0.4075860009997996,2.17477081800007,2.2807073979997767,0.39285754999991696,0.42273718300020846,5.431963724390057,81.59045143269458
identity_complete_identity,5,5,2.5718008080000345,0.5919642209996709,2.499481810999896,2.6848036970000067,0.5806856019999032,0.6149578619997556,4.3445206935935134,76.98250116578768
cold_cli_read,3,3,5.178166210999734,3.1217743049996898,5.102453261999926,5.534491392999826,2.9425037829996654,3.1260424110000713,1.6587253609931447,39.7127442844872
cold_mcp_initialize,2,2,1.6005509245001122,1.5666369699999905,1.5788436440002442,1.62225820499998,1.5426248620001388,1.5906490779998421,1.0216476153375353,2.118892562616448
mcp_explicit_read,6,6,3.2753717415000665,1.0948973419999675,3.162767408000036,3.298129840999991,1.0668430349996925,1.1748629969997637,2.9914875265996983,66.5718144866658
mcp_implicit_capture_read,1,1,18.180010175000007,3.581735518000187,18.180010175000007,18.180010175000007,3.581735518000187,3.581735518000187,5.075754500474833,80.29849552600602
