transport,operation,samples_each,baseline_median_s,baseline_min_s,baseline_max_s,candidate_median_s,candidate_min_s,candidate_max_s,speedup
in-process MCP dispatch,initialize,3,0.006368097999938982,0.006167545999915092,0.006395395000026838,0.2757893560001321,0.2721619330000067,0.28823670399992807,0.02309044153225381
in-process MCP dispatch,read_first,3,0.6329637369999546,0.6269803929999398,0.6605068700000629,0.3908776690000195,0.3840765749998809,0.39650924099987606,1.619339724930469
in-process MCP dispatch,read_repeat,3,0.6687986470001306,0.6068956389999585,0.6701822420000099,0.17780863999996654,0.1671994010000617,0.17881003200000123,3.7613394208529822
in-process MCP dispatch,read_other,3,0.6151434169998993,0.6120387349999419,0.7268398649998744,0.16646399599994766,0.16304629600017506,0.17137406899996677,3.695354141324907
in-process MCP dispatch,read_full,3,0.6181734920000963,0.6127912130000368,0.6281915839999783,0.18012109299979784,0.1760634110000865,0.18280390499990062,3.431988345755764
in-process MCP dispatch,route,3,0.8107210670000313,0.8068153030001213,0.817805781000061,0.367399794999983,0.35190553999996155,0.3807934199999181,2.2066453983733685
stdio,process_initialize,3,0.31861344799995095,0.30339593999997305,0.32317135700009203,0.5837240999999267,0.5716445640000529,0.5880860100000973,0.5458288393437772
stdio,read_cold,3,0.6167820139999094,0.6151544140000169,0.6521691020000162,0.39334122200011734,0.39161440299994865,0.3956212499999765,1.56805841722769
stdio,read_warm,3,0.6100092729998323,0.5957390329999726,0.6297903710001265,0.17202490099998613,0.17125547399996321,0.17745480999997199,3.546052167179457
stdio,read_other,3,0.6147646410001926,0.5931139879999137,0.6204875409998749,0.16945157000009203,0.16818897100006325,0.17401298400000087,3.62796662786812
stdio,read_warm_again,3,0.6180173049999667,0.6145124739998664,0.6560644999999568,0.1752431180000258,0.17289443200002097,0.17533727999989424,3.5266281041625596
stdio,startup_and_first_read,3,0.9383257710001089,0.9201779539998824,0.9707825499999672,0.9793453499999032,0.9649857860001703,0.979700413000046,0.9581153073328031
stdio,startup_and_four_reads,3,2.786839889999783,2.723543448999635,2.871402062000243,1.495650575000127,1.4780940900002406,1.5061504239997703,1.8632961044390641
