scope,history,operation,baseline_samples,baseline_median,baseline_minimum,baseline_maximum,candidate_samples,candidate_median,candidate_minimum,candidate_maximum,speedup
in-process MCP dispatch,1,query_proposal,3,0.5871132489999127,0.577514625999811,0.5973127830000067,3,0.20274338900003386,0.19272818699982963,0.20519528299996637,2.895844110605326
in-process MCP dispatch,1,workflow_status,3,0.7142770100001599,0.674513399000034,0.7331052619999809,3,0.30536392300018633,0.28982939700017596,0.3060294530000647,2.3391008439452228
in-process MCP dispatch,4,query_proposal,3,1.1949334420000923,1.1562655379998432,1.265096627000048,3,0.1870546220000051,0.18627454200009197,0.19193290500015792,6.388152450999365
in-process MCP dispatch,4,workflow_status,3,1.2641281300000173,1.2626330069999767,1.278719454000111,3,0.28760294500011696,0.28298754999991615,0.30427593800004615,4.395393552035787
in-process MCP dispatch,12,query_proposal,3,2.6479470550000315,2.5372157290000814,2.6934243580001294,3,0.1885727040000802,0.18680512800006,0.1891482730000007,14.042048498169201
in-process MCP dispatch,12,workflow_status,3,2.806694661000165,2.575289874999953,2.995833120000043,3,0.2844511349999266,0.28192434799984767,0.3082281030001468,9.867053829828766
real MCP stdio,12,MCP initialization,3,0.6160213130001466,0.5732917230000112,0.62190619099988,3,0.6256709520000641,0.6222455590000209,0.6265571010001167,0.9845771344041613
real MCP stdio,12,"First draft read, cold projection",3,2.81690493699989,2.7956150580000667,2.8905703899999935,3,2.801389307999898,2.785306965000018,2.814401781000015,1.0055385479467935
real MCP stdio,12,Repeated query_proposal,6,2.59641446750004,2.490718859000026,2.7555031019999205,6,0.1924868815000309,0.1865453460000026,0.19540566699993178,13.488786598164213
real MCP stdio,12,Repeated workflow_status,6,2.7054921915000705,2.635224705999917,2.790701533999936,6,0.28674861150000197,0.2831834829999025,0.2951541410000118,9.435066406590261
real MCP stdio,12,startup plus three query/status pairs,3,16.800245859999677,16.646487868000122,16.87522402400009,3,4.684537466999927,4.674613561999877,4.732154522999963,3.586319029007339
