         6246652 function calls (6025535 primitive calls) in 1.467 seconds

   Ordered by: cumulative time
   List reduced from 391 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.473    1.473 engine.py:1702(_compile)
      156    0.038    0.000    0.983    0.006 suite_inputs.py:193(dependency)
        1    0.000    0.000    0.945    0.945 coverage.py:542(load_coverage_horizon)
        1    0.003    0.003    0.945    0.945 coverage.py:341(_load_coverage_horizon)
      400    0.000    0.000    0.849    0.002 encoding.py:72(encode_identity_value)
48746/400    0.023    0.000    0.848    0.002 encoding.py:180(_encode)
85429/400    0.041    0.000    0.848    0.002 {method 'join' of 'bytes' objects}
47575/2334    0.027    0.000    0.847    0.000 encoding.py:193(<genexpr>)
16921/6030    0.004    0.000    0.794    0.000 encoding.py:191(<genexpr>)
    68954    0.448    0.000    0.779    0.000 encoding.py:218(_encode_string)
      156    0.000    0.000    0.671    0.004 suite_inputs.py:99(_identity_digest)
        1    0.003    0.003    0.490    0.490 suite_inputs.py:537(load_suite_input_manifest)
10739/9628    0.047    0.000    0.285    0.000 encoding.py:33(__init__)
      220    0.001    0.000    0.220    0.001 keys.py:35(analysis_key_bytes)
        1    0.000    0.000    0.211    0.211 coverage.py:649(compile_coverage_definitions)
       24    0.001    0.000    0.211    0.009 coverage.py:551(derive_coverage_view)
    68954    0.121    0.000    0.189    0.000 encoding.py:170(_validate_scalar_string)
    48746    0.012    0.000    0.166    0.000 encoding.py:155(_validate_value)
5411/4583    0.006    0.000    0.157    0.000 encoding.py:22(__init__)
  2458784    0.140    0.000    0.140    0.000 {built-in method builtins.ord}
  1359032    0.120    0.000    0.120    0.000 {method 'append' of 'list' objects}
  1237305    0.120    0.000    0.120    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.117    0.117 coverage.py:689(load_repository_coverage_decisions)
       24    0.000    0.000    0.116    0.005 coverage.py:680(coverage_requirement_id)
       24    0.000    0.000    0.108    0.004 coverage.py:669(coverage_requirement_projection)
       24    0.000    0.000    0.107    0.004 keys.py:43(analysis_value_digest)
      172    0.000    0.000    0.106    0.001 coverage.py:158(_digest)
     9053    0.003    0.000    0.098    0.000 suite_inputs.py:232(<genexpr>)
      188    0.006    0.000    0.077    0.000 _parser.py:69(loads)
        1    0.000    0.000    0.076    0.076 corpus.py:9(load_canonical_standards_corpus)
        1    0.002    0.002    0.064    0.064 compiler.py:731(compile_policy_impact)
     4563    0.009    0.000    0.062    0.000 _parser.py:323(key_value_rule)
 6386/220    0.004    0.000    0.061    0.000 keys.py:16(analysis_key)
5403/1170    0.001    0.000    0.050    0.000 keys.py:23(<genexpr>)
5969/4563    0.004    0.000    0.048    0.000 _parser.py:357(parse_key_value_pair)
3067/1411    0.001    0.000    0.046    0.000 keys.py:31(<genexpr>)
        1    0.000    0.000    0.043    0.043 policy_units.py:443(load_policy_unit_corpus)
       24    0.000    0.000    0.041    0.002 policy_units.py:286(_unit)
       24    0.000    0.000    0.040    0.002 policy_units.py:258(_resolve_scope)
8406/4563    0.004    0.000    0.038    0.000 _parser.py:584(parse_value)
    70019    0.037    0.000    0.037    0.000 suite_inputs.py:220(<genexpr>)
        1    0.001    0.001    0.033    0.033 compiler.py:620(_load_declarations)
        1    0.000    0.000    0.033    0.033 loader.py:521(load_canonical_module_corpus)
       19    0.000    0.000    0.032    0.002 compiler.py:89(_load_toml)
        1    0.000    0.000    0.031    0.031 loader.py:434(validate_module_metadata)
       70    0.001    0.000    0.031    0.000 loader.py:144(_parse_module)
       24    0.001    0.000    0.028    0.001 policy_units.py:220(markdown_structural_digest)
        1    0.001    0.001    0.027    0.027 navigation_indexes.py:107(load_indexes)
       70    0.018    0.000    0.027    0.000 loader.py:60(_field_values)
    10741    0.008    0.000    0.022    0.000 {method 'sort' of 'list' objects}
        1    0.001    0.001    0.020    0.020 suite_inputs.py:429(_registry_definitions)
        1    0.000    0.000    0.019    0.019 navigation_indexes.py:73(_navigation_checks)
     6870    0.002    0.000    0.019    0.000 _parser.py:407(parse_one_line_basic_str)
     1137    0.001    0.000    0.018    0.000 source.py:52(read_bytes)
     1207    0.002    0.000    0.018    0.000 paths.py:8(normalized_repository_path)
  662/557    0.002    0.000    0.017    0.000 _parser.py:412(parse_array)
     6870    0.017    0.000    0.017    0.000 _parser.py:552(parse_basic_str)
        1    0.002    0.002    0.015    0.015 suite_inputs.py:320(_parse_manifest)
71435/62555    0.007    0.000    0.015    0.000 {built-in method builtins.isinstance}
    36836    0.014    0.000    0.014    0.000 encoding.py:58(<lambda>)
      834    0.001    0.000    0.014    0.000 __init__.py:183(dumps)
      313    0.001    0.000    0.013    0.000 core.py:168(compile)
      834    0.001    0.000    0.012    0.000 encoder.py:183(encode)
        1    0.000    0.000    0.012    0.012 routing.py:78(load_router_projection)
      834    0.011    0.000    0.011    0.000 encoder.py:205(iterencode)
        1    0.000    0.000    0.011    0.011 repository.py:25(standards_navigation_registry)
  627/528    0.002    0.000    0.011    0.000 _parser.py:436(parse_inline_table)
     1691    0.001    0.000    0.011    0.000 _local.py:320(parts)
     2483    0.001    0.000    0.011    0.000 suite_inputs.py:401(<genexpr>)
       24    0.006    0.000    0.011    0.000 policy_units.py:182(_headings)


