owner	policy_unit	disposition	reason
profile.boundary.generated-contract	profile.boundary.generated-contract.applicability	renew-coverage	global-provider-kind-and-horizon-contract-change
profile.boundary.generated-contract	profile.boundary.generated-contract.semantic-closure	renew-coverage	global-provider-kind-and-horizon-contract-change
router	router.generated-contract-profile-applicability	renew-coverage	global-provider-kind-and-horizon-contract-change
topic.architecture	topic.architecture.immutable-authority-closure	renew-coverage	global-provider-kind-and-horizon-contract-change
topic.contracts	topic.contracts.generated-semantic-conformance	renew-coverage	global-provider-kind-and-horizon-contract-change
topic.contracts	topic.contracts.identity-versus-instance-equality	renew-coverage	global-provider-kind-and-horizon-contract-change
topic.contracts	topic.contracts.schema-dialect-and-vocabulary	renew-coverage	global-provider-kind-and-horizon-contract-change
topic.dependencies	topic.dependencies.implementation-versus-dependency	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.branch-context	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.branch-history-review	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.cherry-pick-lineage	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.commit-message	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.hook-bypass-authority	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.integration-mechanisms	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.invalid-outcomes	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.isolation-applicability	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.per-commit-boundary	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.rewrite-authority	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.terminal-branch-lifecycle	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.topology	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.commit	workflow.commit.worktree-lifecycle	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.acceptance-claims	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.active-plan-fields	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.artifact-model	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.completion	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.concurrent-integration-routing	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.concurrent-work	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.current-state	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.findings	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.lifecycle	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.milestones-and-slices	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.plan-admission	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.projection-completeness	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.replanning	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.repository-isolation	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.systemic-finding-replan	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.planning	workflow.planning.written-plan-applicability	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.verification	workflow.verification.differential-evidence	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.verification	workflow.verification.evidence-oracle-boundary	renew-coverage	global-provider-kind-and-horizon-contract-change
workflow.verification	workflow.verification.negative-fixture-isolation	renew-coverage	global-provider-kind-and-horizon-contract-change
