owner	policy_unit	predecessor_commit	predecessor_tree	predecessor_present	predecessor_requirement	predecessor_attestation	predecessor_certificate
profile.boundary.generated-contract	profile.boundary.generated-contract.applicability	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
profile.boundary.generated-contract	profile.boundary.generated-contract.semantic-closure	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
router	router.generated-contract-profile-applicability	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
topic.architecture	topic.architecture.immutable-authority-closure	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
topic.contracts	topic.contracts.generated-semantic-conformance	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
topic.contracts	topic.contracts.identity-versus-instance-equality	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
topic.contracts	topic.contracts.schema-dialect-and-vocabulary	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
topic.dependencies	topic.dependencies.implementation-versus-dependency	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	false	-	-	-
workflow.commit	workflow.commit.branch-context	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:ffac4de725a11b04e83b8e3902fe654f0604070da163b590013582818afbd117	coverage-attestation:sha256:73192253573c1df05c6f026829f25fd8206183aefaffce0e0a36efb6a5ab88f4	certificate:sha256:0f833f8b9e02a0d19734809875d19e5713722500fb619d405e4bddc239cdd162
workflow.commit	workflow.commit.branch-history-review	4baa63118a72fd0c185fc1d950dc149ab0c1808c	5a4d6d6786fa7a6ca8b373ca221a8eb1c90fa995	true	coverage-requirement:sha256:bfb77c291e2fa476ee936826af34226fa1e630a242619e15d8eab38668e87a95	coverage-attestation:sha256:8e96184b6d0841f76f9b43a383c0788607d61243381d23f1e43066894e9c2fe9	certificate:sha256:9746cce4186c6d2f22a222eac828c726f152f06cef13cb77fa42c669d49e623c
