path	kind	normative	target_role	preliminary_disposition	baseline_source
README.md	entrypoint	derived	router	replace	git
ACCESSIBILITY-STANDARDS.md	standard	yes	topic	refine	git
ARCHITECTURE-PATTERNS.md	standard	yes	mixed	split	git
CODING-STANDARDS.md	standard	derived	core	split	git
COMMIT-STANDARDS.md	standard	yes	workflow	refine	git
CONCURRENCY-STANDARDS.md	standard	yes	topic	refine	git
CROSS-PLATFORM-STANDARDS.md	standard	yes	topic	refine	git
DEPENDENCY-STANDARDS.md	standard	yes	topic	split	git
DOCUMENTATION-STANDARDS.md	standard	yes	workflow	split	git
FRONTEND-STANDARDS.md	standard	yes	profile	refine	git
INTEROP-STANDARDS.md	standard	yes	topic	refine	git
LANGUAGE-BINDINGS-STANDARDS.md	standard	yes	boundary-profile	refine	git
LAUNCHER-STANDARDS.md	standard	yes	application-profile	split	git
PLAN-STANDARDS.md	standard	yes	workflow	replace	git
RELEASE-STANDARDS.md	standard	yes	workflow	split	git
SECURITY-STANDARDS.md	standard	yes	topic	refine	git
TESTING-STANDARDS.md	standard	yes	workflow	split	git
TOOLING-STANDARDS.md	standard	yes	workflow	split	git
languages/README.md	entrypoint	derived	router	replace	git
languages/rust/RUST-API-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-ASYNC-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-CROSS-PLATFORM-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-DEPENDENCY-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-INTEROP-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profile	yes	language-profile	split	git
languages/rust/RUST-RELEASE-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-SECURITY-STANDARDS.md	profile	yes	language-profile	refine	git
languages/rust/RUST-STANDARDS.md	entrypoint	derived	language-router	replace	git
languages/rust/RUST-TOOLING-STANDARDS.md	profile	yes	language-profile	split	git
languages/rust/RUST-UNSAFE-STANDARDS.md	profile	yes	language-profile	refine	git
prompts/full-codebase-standards-refactor.md	local-only-prompt	derived	workflow	decide-versioning	snapshot
prompts/implement-plan.md	local-only-prompt	derived	workflow	decide-versioning	snapshot
prompts/planning.md	local-only-prompt	derived	workflow	decide-versioning	snapshot
templates/PLAN-TEMPLATE.md	template	derived	workflow	align	git
templates/PULL_REQUEST_TEMPLATE.md	template	derived	reference	align	git
templates/README-TEMPLATE.md	template	derived	reference	split	git
plans/architecture-standards-runtime-boundaries-upgrade-plan.md	plan	no	reference	archive	git
plans/documentation-traceability-upgrade-plan.md	plan	no	reference	archive	git
plans/standards-library-effectiveness-restructure-plan.md	plan	no	active-plan	keep	git
