case	users	tasks	platforms	modalities	conformance	capability	evidence	fallback	expected
selected_contract	selected	selected	supported	selected	selected	supported	proved	none	allow
multiple_modalities	selected	selected	supported	multiple	selected	supported	proved	none	allow
selected_external_standard	selected	selected	supported	selected	versioned	supported	proved	none	allow
contradictory_users	contradictory	selected	supported	selected	selected	supported	proved	none	typed-invalid
contradictory_modalities	selected	selected	supported	contradictory	selected	supported	proved	none	typed-invalid
unsupported_capability	selected	selected	supported	selected	selected	unsupported	proved	none	typed-unsupported
unsupported_platform	selected	selected	unsupported	selected	selected	supported	proved	none	typed-unsupported
missing_users	missing	selected	supported	selected	selected	supported	proved	none	typed-unavailable
missing_tasks	selected	missing	supported	selected	selected	supported	proved	none	typed-unavailable
missing_modalities	selected	selected	supported	missing	selected	supported	proved	none	typed-unavailable
missing_conformance	selected	selected	supported	selected	missing	supported	proved	none	typed-unavailable
missing_evidence	selected	selected	supported	selected	selected	supported	missing	none	typed-unavailable
web_default	selected	selected	supported	selected	selected	supported	proved	web	typed-invalid
wcag_default	selected	selected	supported	selected	missing	supported	proved	universal-wcag	typed-invalid
keyboard_only	selected	selected	supported	keyboard	selected	supported	proved	keyboard-only	typed-invalid
lint_success	selected	selected	supported	selected	selected	supported	lint-only	lint-proof	typed-invalid
default_success	missing	missing	missing	missing	missing	missing	missing	default-success	typed-invalid
