case	authority	projection	synchronization	reconciliation	fallback	expected
server_confirmed	server	complete	complete	complete	none	illustrate-confirmed
server_optimistic	server	optimistic	complete	complete	none	illustrate-optimistic
frontend_selected	frontend	complete	complete	complete	none	pattern-not-applicable
missing_authority	missing	complete	complete	complete	none	typed-unavailable
missing_projection	server	missing	complete	complete	none	typed-unavailable
missing_synchronization	server	complete	missing	complete	none	typed-unavailable
missing_reconciliation	server	optimistic	complete	missing	none	typed-unavailable
contradictory_authority	contradictory	complete	complete	complete	none	typed-invalid
backend_location_fallback	missing	complete	complete	complete	backend-location	typed-invalid
confirmed_only_fallback	server	optimistic	complete	complete	disable-optimistic	typed-invalid
