case	service_owner	discovery	identity	exclusion	readiness	transport	retry	lifecycle	fallback	expected
selected_convergence	selected	selected	selected	selected	selected	selected	selected	owned	none	route
external_creation	selected	selected	selected	not-needed	selected	selected	not-needed	owned	none	route
missing_owner	missing	selected	selected	selected	selected	selected	selected	owned	none	typed-unavailable
missing_discovery	selected	missing	selected	selected	selected	selected	selected	owned	none	typed-unavailable
missing_identity	selected	selected	missing	selected	selected	selected	selected	owned	none	typed-unavailable
missing_exclusion	selected	selected	selected	missing	selected	selected	selected	owned	none	typed-unavailable
missing_readiness	selected	selected	selected	selected	missing	selected	selected	owned	none	typed-unavailable
missing_transport	selected	selected	selected	selected	selected	missing	selected	owned	none	typed-unavailable
missing_lifecycle	selected	selected	selected	selected	selected	selected	selected	missing	none	typed-unavailable
unsupported_transport	selected	selected	selected	selected	selected	unsupported	selected	owned	none	typed-unsupported
contradictory_owner	contradictory	selected	selected	selected	selected	selected	selected	owned	none	typed-invalid
connect_first	selected	selected	selected	selected	selected	selected	selected	owned	connect-first	typed-invalid
creation_lock	selected	selected	selected	selected	selected	selected	selected	owned	creation-lock	typed-invalid
fixed_backoff	selected	selected	selected	selected	selected	selected	selected	owned	fixed-backoff	typed-invalid
health_probe	selected	selected	selected	selected	selected	selected	selected	owned	health-probe	typed-invalid
fixed_lifecycle	selected	selected	selected	selected	selected	selected	selected	owned	fixed-lifecycle	typed-invalid
