case	contracts	discovery	creation	coordination	readiness	retry	lifecycle	evidence	fallback	expected
qualified_example	complete	selected	authorized	selected	selected	bounded	owned	selected	none	retain
external_creation	complete	selected	external	not-needed	selected	not-needed	owned	selected	none	retain
missing_contracts	missing	selected	authorized	selected	selected	bounded	owned	selected	none	typed-unavailable
missing_discovery	complete	missing	authorized	selected	selected	bounded	owned	selected	none	typed-unavailable
missing_creation	complete	selected	missing	selected	selected	bounded	owned	selected	none	typed-unavailable
missing_coordination	complete	selected	authorized	missing	selected	bounded	owned	selected	none	typed-unavailable
missing_readiness	complete	selected	authorized	selected	missing	bounded	owned	selected	none	typed-unavailable
missing_lifecycle	complete	selected	authorized	selected	selected	bounded	missing	selected	none	typed-unavailable
unsupported_creation	complete	selected	unsupported	selected	selected	bounded	owned	selected	none	typed-unsupported
contradictory_contracts	contradictory	selected	authorized	selected	selected	bounded	owned	selected	none	typed-invalid
unbounded_retry	complete	selected	authorized	selected	selected	bounded	owned	selected	unbounded-retry	typed-invalid
default_success	complete	selected	authorized	selected	selected	bounded	owned	selected	default-success	typed-invalid
guaranteed_benefit	complete	selected	authorized	selected	selected	bounded	owned	selected	guaranteed-benefit	typed-invalid
carry_prior_input	complete	selected	authorized	selected	selected	bounded	owned	selected	carry-prior-input	typed-invalid
