case	identity	invariant	coordination	capability	lifecycle	recovery	diagnostic	fallback	expected
selected_instance	selected	required	selected	supported	owned	selected	selected	none	route
no_exclusion_needed	selected	not-required	not-needed	supported	owned	not-needed	not-needed	none	route
missing_identity	missing	required	selected	supported	owned	selected	selected	none	typed-unavailable
missing_invariant	selected	missing	selected	supported	owned	selected	selected	none	typed-unavailable
missing_coordination	selected	required	missing	supported	owned	selected	selected	none	typed-unavailable
missing_capability	selected	required	selected	missing	owned	selected	selected	none	typed-unavailable
missing_lifecycle	selected	required	selected	supported	missing	selected	selected	none	typed-unavailable
missing_recovery	selected	required	selected	supported	owned	missing	selected	none	typed-unavailable
unsupported_capability	selected	required	selected	unsupported	owned	selected	selected	none	typed-unsupported
contradictory_identity	contradictory	required	selected	supported	owned	selected	selected	none	typed-invalid
pid_file_default	selected	required	selected	supported	owned	selected	selected	pid-file	typed-invalid
start_time_default	selected	required	selected	supported	owned	selected	selected	start-time	typed-invalid
platform_api_default	selected	required	selected	supported	owned	selected	selected	platform-api	typed-invalid
delete_stale_default	selected	required	selected	supported	owned	selected	selected	delete-stale	typed-invalid
mandatory_log	selected	required	selected	supported	owned	selected	selected	always-log	typed-invalid
