case	authority	inputs	outputs	invalidation	environment	capability	fallback	expected
accepted	accepted	known	known	known	known	supported	none	allow
missing_authority	missing	known	known	known	known	supported	none	typed-unavailable
missing_input	accepted	missing	known	known	known	supported	none	typed-unavailable
missing_output	accepted	known	missing	known	known	supported	none	typed-unavailable
missing_invalidation	accepted	known	known	missing	known	supported	none	typed-unavailable
missing_environment	accepted	known	known	known	missing	supported	none	typed-unavailable
contradictory	contradictory	known	known	known	known	supported	none	typed-invalid
unsupported	accepted	known	known	known	known	unsupported	none	typed-unsupported
existing_script	accepted	known	known	known	known	supported	existing-script	typed-invalid
source_output	accepted	known	known	known	known	supported	source-output	typed-invalid
broad_rerun	accepted	known	known	known	known	supported	broad-rerun	typed-invalid
raw_compiler	accepted	known	known	known	known	supported	raw-compiler	typed-invalid
detection_swap	accepted	known	known	known	known	supported	detection-swap	typed-invalid
ambient	accepted	known	known	known	known	supported	ambient-environment	typed-invalid
timestamp	accepted	known	known	known	known	supported	timestamp-convention	typed-invalid
success	accepted	known	known	known	known	supported	build-success	typed-invalid
