case	state	coordination	lock_scope	external	execution	work_owner	failure	cancellation	fallback	expected
immutable-shared-read	immutable	none	not-applicable	none	sync	not-required	not-required	not-required	none	allow
mutable-exclusive-owner	mutable	ownership	not-applicable	none	sync	declared	not-required	not-required	none	allow
mutable-message-owner	mutable	message	not-applicable	none	async-nonblocking	declared	observed	propagated	none	allow
mutable-atomic	mutable	atomic	not-applicable	none	sync	not-required	not-required	not-required	none	allow
mutable-lock-snapshot-callback	mutable	lock	released	callback	sync	not-required	not-required	not-required	none	allow
mutable-transaction	mutable	transaction	not-applicable	none	sync	not-required	not-required	not-required	none	allow
unprotected-shared-mutation	mutable	unprotected	not-applicable	none	sync	not-required	not-required	not-required	none	typed-invalid
callback-under-lock	mutable	lock	held	callback	sync	not-required	not-required	not-required	none	typed-invalid
related-invariant-coordinated	mutable	transaction	not-applicable	none	sync	not-required	not-required	not-required	none	allow
related-invariant-split	mutable	unprotected	not-applicable	none	sync	not-required	not-required	not-required	none	typed-invalid
blocking-async-request	none	none	not-applicable	none	async-blocking	declared	observed	propagated	none	typed-invalid
observed-owned-failure	none	none	not-applicable	none	async-nonblocking	declared	observed	propagated	none	allow
discarded-async-failure	none	none	not-applicable	none	async-nonblocking	declared	discarded	propagated	none	typed-invalid
missing-work-owner	none	none	not-applicable	none	async-nonblocking	missing	observed	propagated	none	typed-invalid
unavailable-work-owner	none	none	not-applicable	none	async-nonblocking	unavailable	observed	propagated	none	typed-unavailable
cancellation-propagated	none	none	not-applicable	none	async-nonblocking	declared	observed	propagated	none	allow
cancellation-ignored	none	none	not-applicable	none	async-nonblocking	declared	observed	ignored	none	typed-invalid
fire-and-forget-fallback	none	none	not-applicable	none	async-nonblocking	declared	observed	propagated	fire-and-forget	typed-invalid
sync-block-fallback	none	none	not-applicable	none	async-nonblocking	declared	observed	propagated	sync-block	typed-invalid
language-mechanism-as-universal	mutable	language-specific	not-applicable	none	sync	not-required	not-required	not-required	language-mechanism	typed-invalid
