case	class	deployment	change	generator_input	version_relation	evidence	fallback	expected
coordinated_break	internal-coordinated	atomic	breaking	not-applicable	contract-selected	complete	none	replace
persisted_change	persisted	atomic	breaking	not-applicable	contract-selected	complete	none	migrate
public_change	public-versioned	independent	breaking	not-applicable	contract-selected	complete	none	version
independent_change	distributed-independent	independent	breaking	not-applicable	contract-selected	complete	none	negotiate
generated_change	generated	atomic	compatible	changed	contract-selected	complete	none	regenerate
generated_unchanged	generated	atomic	none	unchanged	contract-selected	complete	none	no-regeneration
unsupported_public	public-versioned	independent	unsupported	not-applicable	contract-selected	complete	none	typed-unsupported
wrong_coordinated_deployment	internal-coordinated	independent	breaking	not-applicable	contract-selected	complete	none	typed-invalid
generated_missing_input	generated	atomic	compatible	not-applicable	contract-selected	complete	none	typed-invalid
forced_lockstep	public-versioned	independent	compatible	not-applicable	forced-lockstep	complete	none	typed-invalid
shared_build_forced_lockstep	generated	atomic	compatible	unchanged	forced-lockstep	complete	none	typed-invalid
forced_independent	internal-coordinated	atomic	compatible	not-applicable	forced-independent	complete	none	typed-invalid
missing_version_contract	public-versioned	independent	compatible	not-applicable	missing	complete	none	typed-unavailable
missing_evidence	generated	atomic	compatible	changed	contract-selected	missing	none	typed-unavailable
assumed_additive	public-versioned	independent	compatible	not-applicable	contract-selected	complete	assume-additive	typed-invalid
regenerate_everything	generated	atomic	none	unchanged	contract-selected	complete	regenerate-all	typed-invalid
skip_required_regeneration	generated	atomic	compatible	changed	contract-selected	complete	skip-regeneration	typed-invalid
compatibility_copy	public-versioned	independent	breaking	not-applicable	contract-selected	complete	compatibility-shim	typed-invalid
default_success	distributed-independent	independent	breaking	not-applicable	missing	missing	default-success	typed-invalid
