case	actual
coordinated_break	replace
persisted_change	migrate
public_change	version
independent_change	negotiate
generated_change	regenerate
generated_unchanged	no-regeneration
unsupported_public	typed-unsupported
wrong_coordinated_deployment	typed-invalid
generated_missing_input	typed-invalid
forced_lockstep	typed-invalid
forced_independent	typed-invalid
missing_version_contract	typed-unavailable
missing_evidence	typed-unavailable
assumed_additive	typed-invalid
regenerate_everything	typed-invalid
skip_required_regeneration	typed-invalid
compatibility_copy	typed-invalid
default_success	typed-invalid
