case	authority	generator	derivation	evidence	fallback	expected
schema_authority	schema	available	deterministic	complete	none	allow
generator_input_authority	generator-input	available	deterministic	complete	none	allow
producer_contract_authority	producer-contract	available	deterministic	complete	none	allow
compiled_artifact_default	compiled-artifact	available	deterministic	complete	none	typed-invalid
annotation_default	source-annotation	available	deterministic	complete	none	typed-invalid
consumer_output_default	consumer-output	available	deterministic	complete	none	typed-invalid
missing_authority	missing	available	deterministic	complete	none	typed-unavailable
missing_generator	schema	missing	deterministic	complete	none	typed-unavailable
missing_derivation	schema	available	missing	complete	none	typed-unavailable
missing_evidence	schema	available	deterministic	missing	none	typed-unavailable
alternate_generator	schema	available	deterministic	complete	alternate-generator	typed-invalid
hand_maintained	schema	available	deterministic	complete	hand-maintained	typed-invalid
default_success	missing	missing	missing	missing	default-success	typed-invalid
