case	contract_class	authority	deployment	producer_update	consumer_update	version	evidence	fallback	expected
coordinated_complete	internal-coordinated	selected	atomic	complete	complete	not-applicable	matched	none	allow
coordinated_missing_consumer	internal-coordinated	selected	atomic	complete	incomplete	not-applicable	matched	none	typed-invalid
coordinated_old_shape	internal-coordinated	selected	atomic	complete	complete	not-applicable	matched	old-shape	typed-invalid
generated_complete	generated	selected	atomic	complete	complete	not-applicable	matched	none	allow
generated_missing_output	generated	selected	atomic	incomplete	complete	not-applicable	matched	none	typed-invalid
persisted_supported	persisted	selected	independent	complete	complete	supported	matched	none	allow
persisted_unsupported	persisted	selected	independent	complete	complete	unsupported	matched	none	typed-unsupported
public_supported	public-versioned	selected	independent	complete	complete	supported	matched	none	allow
public_dual_shape	public-versioned	selected	independent	complete	complete	supported	matched	dual-shape	typed-invalid
independent_supported	distributed-independent	selected	independent	complete	complete	supported	matched	none	allow
independent_unsupported	distributed-independent	selected	independent	complete	complete	unsupported	matched	none	typed-unsupported
missing_authority	distributed-independent	missing	independent	complete	complete	supported	matched	none	typed-unavailable
ambiguous_authority	generated	ambiguous	atomic	complete	complete	not-applicable	matched	none	typed-unavailable
missing_evidence	internal-coordinated	selected	atomic	complete	complete	not-applicable	missing	none	typed-invalid
guessed_schema	distributed-independent	selected	independent	complete	complete	supported	matched	guess-schema	typed-invalid
fallback_default	persisted	selected	independent	complete	complete	supported	matched	default	typed-invalid
