case	class	deployment	state	substitute	action	expected
coordinated-internal	internal-coordinated	atomic	ephemeral	none	replace	allow
retained-schema	persisted	atomic	authoritative	none	migrate	allow
public-api	public-versioned	independent	ephemeral	none	version	allow
overlapping-services	distributed-independent	independent	ephemeral	none	negotiate	allow
generated-binding	generated	atomic	ephemeral	none	regenerate	allow
corrupt-authoritative-store	persisted	atomic	authoritative	none	typed-invalid	allow
disposable-index	persisted	atomic	derived	authoritative-equivalent	rebuild-derived	allow
valid-read-cache	distributed-independent	independent	derived	authoritative-equivalent	degrade-defined	allow
unknown-stale-cache	distributed-independent	independent	derived	unknown	typed-unavailable	allow
unsupported-wire-version	distributed-independent	independent	ephemeral	none	typed-unsupported	allow
