case	scope	direction	authority	protocol	projection	response	disclosure	proof	claim	fallback	expected
valid_producer	selected	producer	present	supported	selected	consistent	safe	complete	matched	none	allow
valid_consumer	selected	consumer	present	supported	selected	consistent	safe	complete	matched	none	allow
selected_empty_response	selected	producer	present	supported	selected	consistent	safe	complete	none	none	allow
selected_application_error_over_success_transport	selected	consumer	present	supported	selected	consistent	safe	complete	matched	none	allow
selected_without_claim	selected	producer	present	supported	selected	consistent	safe	complete	none	none	allow
not_applicable	unselected	none	missing	missing	missing	missing	missing	missing	none	none	allow
missing_authority	selected	producer	missing	supported	selected	consistent	safe	complete	matched	none	typed-unavailable
missing_direction	selected	missing	present	supported	selected	consistent	safe	complete	matched	none	typed-unavailable
missing_protocol	selected	producer	present	missing	selected	consistent	safe	complete	matched	none	typed-unavailable
missing_projection	selected	producer	present	supported	missing	consistent	safe	complete	matched	none	typed-unavailable
missing_response	selected	consumer	present	supported	selected	missing	safe	complete	matched	none	typed-unavailable
missing_disclosure	selected	producer	present	supported	selected	consistent	missing	complete	matched	none	typed-unavailable
missing_proof	selected	consumer	present	supported	selected	consistent	safe	missing	matched	none	typed-unavailable
unsupported_protocol	selected	producer	present	unsupported	selected	consistent	safe	complete	matched	none	typed-unsupported
unsupported_direction	selected	unsupported	present	supported	selected	consistent	safe	complete	matched	none	typed-unsupported
unsupported_projection	selected	producer	present	supported	unsupported	consistent	safe	complete	matched	none	typed-unsupported
unsupported_response	selected	consumer	present	supported	selected	unsupported	safe	complete	matched	none	typed-unsupported
contradictory_response	selected	producer	present	supported	selected	contradictory	safe	complete	matched	none	typed-invalid
unsafe_disclosure	selected	producer	present	supported	selected	consistent	unsafe	complete	matched	none	typed-invalid
incomplete_proof	selected	consumer	present	supported	selected	consistent	safe	incomplete	matched	none	typed-invalid
false_interpretation_claim	selected	consumer	present	supported	selected	consistent	safe	complete	false	none	typed-invalid
shared_error_type_default	selected	producer	present	supported	selected	consistent	safe	complete	matched	shared-type-default	typed-invalid
generic_error_fallback	selected	consumer	present	supported	selected	consistent	safe	complete	matched	generic-error	typed-invalid
raw_message_fallback	selected	producer	present	supported	selected	consistent	safe	complete	matched	raw-message	typed-invalid
default_internal_error	selected	producer	present	supported	selected	consistent	safe	complete	matched	default-500	typed-invalid
status_only_interpretation	selected	consumer	present	supported	selected	consistent	safe	complete	matched	status-only	typed-invalid
body_only_interpretation	selected	consumer	present	supported	selected	consistent	safe	complete	matched	body-only	typed-invalid
transport_success_inference	selected	consumer	present	supported	selected	consistent	safe	complete	matched	transport-success	typed-invalid
alternate_decoder	selected	consumer	present	supported	selected	consistent	safe	complete	matched	alternate-decoder	typed-invalid
implicit_retry	selected	consumer	present	supported	selected	consistent	safe	complete	matched	retry	typed-invalid
implicit_recovery	selected	consumer	present	supported	selected	consistent	safe	complete	matched	recover	typed-invalid
duplicate_response	selected	producer	present	supported	selected	consistent	safe	complete	matched	duplicate-response	typed-invalid
partial_response	selected	producer	present	supported	selected	consistent	safe	complete	matched	partial-response	typed-invalid
