case	scope	authority	outcome	protocol	projection	status	body	disclosure	fallback	expected
selected_success	selected	present	success	supported	selected	consistent	consistent	safe	none	allow
selected_failure	selected	present	failure	supported	selected	consistent	consistent	safe	none	allow
selected_application_error_over_success_transport	selected	present	application-error	supported	selected	consistent	consistent	safe	none	allow
not_applicable	unselected	missing	missing	missing	missing	missing	missing	missing	none	allow
missing_authority	selected	missing	failure	supported	selected	consistent	consistent	safe	none	typed-unavailable
missing_outcome	selected	present	missing	supported	selected	consistent	consistent	safe	none	typed-unavailable
missing_protocol	selected	present	failure	missing	selected	consistent	consistent	safe	none	typed-unavailable
missing_projection	selected	present	failure	supported	missing	consistent	consistent	safe	none	typed-unavailable
missing_status	selected	present	failure	supported	selected	missing	consistent	safe	none	typed-unavailable
missing_body	selected	present	failure	supported	selected	consistent	missing	safe	none	typed-unavailable
missing_disclosure	selected	present	failure	supported	selected	consistent	consistent	missing	none	typed-unavailable
unsupported_outcome	selected	present	unsupported	supported	selected	consistent	consistent	safe	none	typed-unsupported
unsupported_protocol	selected	present	failure	unsupported	selected	consistent	consistent	safe	none	typed-unsupported
unsupported_projection	selected	present	failure	supported	unsupported	consistent	consistent	safe	none	typed-unsupported
contradictory_status	selected	present	failure	supported	selected	contradictory	consistent	safe	none	typed-invalid
contradictory_body	selected	present	failure	supported	selected	consistent	contradictory	safe	none	typed-invalid
unsafe_disclosure	selected	present	failure	supported	selected	consistent	consistent	unsafe	none	typed-invalid
default_internal_error	selected	present	failure	supported	selected	consistent	consistent	safe	default-500	typed-invalid
default_envelope	selected	present	failure	supported	selected	consistent	consistent	safe	default-envelope	typed-invalid
transport_success_inference	selected	present	failure	supported	selected	consistent	consistent	safe	transport-success	typed-invalid
raw_message_fallback	selected	present	failure	supported	selected	consistent	consistent	safe	raw-message	typed-invalid
alternate_decoder	selected	present	failure	supported	selected	consistent	consistent	safe	alternate-decoder	typed-invalid
implicit_retry	selected	present	failure	supported	selected	consistent	consistent	safe	retry	typed-invalid
implicit_recovery	selected	present	failure	supported	selected	consistent	consistent	safe	recover	typed-invalid
