case	applicability	input_trust	decoder_status	invariant_coverage	normalization	version	construction	expected
trusted_internal	internal	validated	not-required	not-required	not-required	not-versioned	none	allow
valid_boundary	boundary	unknown	success	complete	valid	supported	decoder	allow
valid_without_normalization	boundary	unknown	success	complete	not-required	not-versioned	decoder	allow
malformed_shape	boundary	unknown	failure	partial	not-required	supported	none	typed-invalid
assertion_only	boundary	unknown	not-required	partial	not-required	supported	assertion	typed-invalid
incomplete_validation	boundary	unknown	success	partial	valid	supported	decoder	typed-invalid
unsupported_version	boundary	unknown	success	complete	valid	unsupported	decoder	typed-unsupported
decoder_unavailable	boundary	unknown	unavailable	not-required	not-required	supported	none	typed-unavailable
normalization_failure	boundary	unknown	success	complete	invalid	supported	decoder	typed-invalid
original_input_reused	boundary	unknown	success	complete	valid	supported	original	typed-invalid
