case	authority	selected_semantics	consumer_action	destination	capability	expected
preserve_selected	known	shape-default-constraint	preserve	declared	supported	allow
authorized_projection	known	label-identity	transform	declared	supported	allow
omit_unselected	known	none	omit	declared	supported	allow
missing_authority	missing	shape	preserve	declared	supported	typed-unavailable
missing_destination	known	ordering	transform	missing	supported	typed-unavailable
silent_default_drop	known	default	omit	declared	supported	typed-invalid
silent_constraint_drop	known	constraint	omit	declared	supported	typed-invalid
inferred_label	known	label-identity	infer	declared	supported	typed-invalid
source_shape_reuse	known	discriminant	reuse-source	missing	supported	typed-unavailable
unsupported_variant	known	discriminant	preserve	declared	unsupported	typed-unsupported
contradictory_transform	contradictory	ordering	transform	declared	supported	typed-invalid
