case	artifact_coupling	caller_knowledge	composition_root	change_locality	interface_depth	independent_evolution	deletion_result	generality_basis	authoring_ease	reliability_evidence	metric_role	expected
coherent_deep_module	contained	owned-only	bounded	local	deep	yes	essential	none	neutral	covered	none	simple
nominal_modules_braided	braided	unrelated	cross-owner	forced-broad	shallow	no	essential	real-variants	neutral	covered	none	complected
familiar_framework_complex	braided	unrelated	cross-owner	forced-broad	shallow	no	essential	real-variants	familiar	covered	none	complected
unfamiliar_values_simple	independent	owned-only	bounded	local	deep	yes	essential	real-variants	unfamiliar	uncovered	none	simple
stable_interface_composition	independent	owned-only	bounded	local	deep	yes	essential	real-variants	neutral	covered	none	simple
reliability_does_not_simplify	braided	unrelated	cross-owner	forced-broad	shallow	no	essential	real-variants	neutral	covered	none	complected
generated_braided_change	braided	unrelated	cross-owner	forced-broad	shallow	no	essential	contract-or-invariant	familiar	covered	none	complected
deleted_pass_through	contained	owned-only	bounded	local	shallow	yes	incidental	none	familiar	covered	none	complected
hypothetical_adapter_as_permanent_basis	contained	owned-only	bounded	local	deep	yes	essential	hypothetical-as-permanent-basis	neutral	covered	none	typed-invalid
hypothetical_adapter_probe_only	contained	owned-only	bounded	local	deep	yes	essential	probe-only-no-permanent-seam	neutral	covered	none	simple
public_contract_seam	independent	owned-only	bounded	local	deep	yes	essential	contract-or-invariant	neutral	covered	none	simple
construct_count_verdict	independent	owned-only	bounded	local	deep	yes	essential	real-variants	neutral	covered	count-as-verdict	typed-invalid
construct_count_diagnostic	independent	owned-only	bounded	local	deep	yes	essential	real-variants	neutral	covered	diagnostic-count	simple
unknown_caller_knowledge	independent	unknown	bounded	local	deep	yes	essential	real-variants	neutral	covered	none	typed-unavailable
