case	actual
static_linked	allow
package_resolved	allow
system_loader	allow
provisioned_dynamic	allow
provided_handle	allow
selected_embedding	allow
unsupported_target	typed-unsupported
missing_contract	typed-unavailable
contradictory_contract	typed-invalid
unknown_target	typed-unavailable
missing_identity	typed-unavailable
ambiguous_identity	typed-invalid
unknown_delivery	typed-unavailable
unknown_mechanism	typed-unavailable
unavailable_capability	typed-unavailable
missing_evidence	typed-unavailable
strategy_default	typed-invalid
guessed_filename	typed-invalid
ambient_search	typed-invalid
alternate_loader	typed-invalid
alternate_artifact	typed-invalid
embedded_copy	typed-invalid
default_success	typed-invalid
