column	allowed
case	*
artifact_contract	declared,missing,contradictory
target	supported,unsupported,unknown
identity	exact,missing,ambiguous
delivery	linked,packaged,system,provisioned,embedded,unknown
mechanism	static-link,dynamic-load,package-resolver,os-loader,provided-handle,embedded-resource,unknown
capability	available,unavailable
evidence	matched,missing
fallback	none,mandatory-strategy,guessed-name,ambient-search,alternate-loader,alternate-artifact,embedded-copy,default-success
expected	allow,typed-invalid,typed-unsupported,typed-unavailable
