case	targets	target_contract	support	behavior	isolation	selection	layout	capability	semantics	evidence	fallback	expected
single-compile-time	single	declared	required	available	cohesive	compile-time	cohesive	available	preserved	matched	none	allow
multiple-runtime	multiple	declared	required	available	cohesive	runtime	cohesive	available	preserved	matched	none	allow
composition-selected	multiple	declared	required	available	cohesive	composition	cohesive	available	preserved	matched	none	allow
dispatch-selected	multiple	declared	optional	available	cohesive	dispatch	cohesive	available	preserved	matched	none	allow
optional-unsupported	single	declared	unsupported	unavailable	cohesive	compile-time	cohesive	unsupported	preserved	not-required	none	typed-unsupported
unknown-target	unknown	missing	unknown	unavailable	missing	unknown	cohesive	unavailable	preserved	missing	none	typed-unavailable
missing-target-contract	single	missing	required	available	cohesive	composition	cohesive	available	preserved	matched	none	typed-unavailable
contradictory-contract	multiple	contradictory	required	invalid	cohesive	composition	cohesive	available	preserved	matched	none	typed-invalid
missing-isolation	single	declared	required	available	missing	runtime	cohesive	available	preserved	matched	none	typed-unavailable
missing-selection	single	declared	required	available	cohesive	unknown	cohesive	available	preserved	matched	none	typed-unavailable
unavailable-capability	single	declared	required	unavailable	cohesive	composition	cohesive	unavailable	preserved	matched	none	typed-unavailable
missing-evidence	single	declared	required	available	cohesive	composition	cohesive	available	preserved	missing	none	typed-unavailable
default-targets	default	declared	required	available	cohesive	composition	cohesive	available	preserved	matched	default-targets	typed-invalid
default-support-tier	single	declared	default	available	cohesive	composition	cohesive	available	preserved	matched	default-tier	typed-invalid
mandatory-strategy-factory	single	declared	required	available	universal	composition	cohesive	available	preserved	matched	strategy-factory	typed-invalid
domain-inline-selection	single	declared	required	available	domain-inline	runtime	cohesive	available	preserved	matched	none	typed-invalid
one-file-per-platform	single	declared	required	available	cohesive	composition	one-per-platform	available	preserved	matched	one-file-per-platform	typed-invalid
default-layout	single	declared	required	available	cohesive	composition	default	available	preserved	matched	one-file-per-platform	typed-invalid
runtime-only-fallback	single	declared	required	available	cohesive	default	cohesive	available	preserved	matched	runtime-only	typed-invalid
compile-only-fallback	single	declared	required	available	cohesive	default	cohesive	available	preserved	matched	compile-only	typed-invalid
stub-degradation	single	declared	required	available	cohesive	composition	cohesive	available	stub	matched	stub	typed-invalid
false-result-degradation	single	declared	required	available	cohesive	composition	cohesive	available	false-result	matched	stub	typed-invalid
silent-feature-omission	single	declared	required	available	cohesive	composition	cohesive	available	omitted	matched	silent-omission	typed-invalid
alternate-implementation	single	declared	required	available	cohesive	composition	cohesive	available	alternate	matched	alternate-mechanism	typed-invalid
simulated-real-evidence	single	declared	required	available	cohesive	composition	cohesive	available	preserved	simulated-substitute	weaker-evidence	typed-invalid
