case	semantics	shape	lifecycle	candidate	conformance	maintenance	security	local_subset	distinct_semantics	decision	automatic_delete	expected
mature_supported_dependency	difficult	standardized-reimplementation	create	mature	supported	owned	owned	larger	no	adopt	no	adopt
small_owned_local_subset	simple	simple-local	create	none	not-applicable	owned	owned	small	not-applicable	local	no	implement
dependency_lacks_required_semantics	difficult	standardized-reimplementation	create	mature	unsupported	owned	owned	larger	no	adopt	no	typed-unsupported
unowned_dependency_maintenance	difficult	standardized-reimplementation	create	mature	supported	missing	owned	larger	no	adopt	no	typed-unavailable
unowned_security_response	difficult	standardized-reimplementation	create	mature	supported	owned	missing	larger	no	adopt	no	typed-unavailable
speculative_local_reimplementation	difficult	standardized-reimplementation	create	mature	supported	owned	owned	larger	no	local	no	typed-invalid
missing_candidate_evidence	difficult	unknown	unknown	unknown	unknown	missing	missing	unknown	unknown	undecided	no	typed-unavailable
thin_adapter_delegates_semantics	difficult	thin-adapter	create	mature	supported	owned	owned	small	yes	adopt	no	adopt
domain_product_owns_distinct_semantics	difficult	domain-product	create	mature	supported	owned	owned	small	yes	local	no	implement
nominal_domain_product	difficult	domain-product	create	mature	supported	owned	owned	larger	no	local	no	typed-invalid
unchanged_accepted_local_implementation	difficult	standardized-reimplementation	unchanged	mature	supported	owned	owned	larger	no	local	no	implement
automatic_retroactive_deletion	difficult	standardized-reimplementation	unchanged	mature	supported	owned	owned	larger	no	adopt	yes	typed-invalid
material_extension_reopens_decision	difficult	standardized-reimplementation	material-extension	mature	supported	owned	owned	larger	no	local	no	typed-invalid
renewal_reopens_decision	difficult	standardized-reimplementation	renewal	mature	supported	owned	owned	larger	no	local	no	typed-invalid
