case	requirement	owner	candidate	constraints	resolution	authority	evidence	fallback	expected
declared_dependency	complete	narrow	supported	complete	reproducible	explicit	complete	none	allow
shared_dependency	complete	shared-proven	supported	complete	reproducible	explicit	complete	none	allow
missing_requirement	missing	narrow	supported	complete	reproducible	explicit	complete	none	typed-unavailable
contradictory_requirement	contradictory	narrow	supported	complete	reproducible	explicit	complete	none	typed-invalid
unknown_owner	complete	unknown	supported	complete	reproducible	explicit	complete	none	typed-unavailable
unsupported_candidate	complete	narrow	unsupported	complete	reproducible	explicit	complete	none	typed-unsupported
missing_constraints	complete	narrow	supported	missing	reproducible	explicit	complete	none	typed-unavailable
missing_resolution	complete	narrow	supported	complete	missing	explicit	complete	none	typed-unavailable
missing_authority	complete	narrow	supported	complete	reproducible	missing	complete	none	typed-invalid
failed_evidence	complete	narrow	supported	complete	reproducible	explicit	failed	none	typed-unavailable
popularity_default	complete	narrow	supported	complete	reproducible	explicit	complete	popularity	typed-invalid
standard_library_default	complete	narrow	supported	complete	reproducible	explicit	complete	standard-library	typed-invalid
transitive_resolution	complete	narrow	supported	complete	missing	explicit	complete	transitive	typed-invalid
global_resolution	complete	narrow	supported	complete	missing	explicit	complete	global	typed-invalid
implicit_install	complete	narrow	supported	complete	reproducible	missing	complete	implicit-install	typed-invalid
privilege_escalation	complete	narrow	supported	complete	reproducible	missing	complete	auto-sudo	typed-invalid
alternate_registry	complete	narrow	supported	complete	missing	explicit	complete	alternate-registry	typed-invalid
successful_noop	complete	narrow	unsupported	complete	reproducible	explicit	missing	successful-noop	typed-invalid
default_success	missing	unknown	unsupported	missing	missing	missing	missing	default-success	typed-invalid
