case	requirement	ownership	candidate	compatibility	footprint	audit	automation	fallback	expected
selected_dependency	complete	owned	supported	proved	accepted	complete	declared	none	allow
compatible_update	complete	owned	supported	proved	accepted	complete	declared	none	allow
proved_removal	complete	owned	not-applicable	proved	accepted	complete	declared	none	allow
optional_feature	complete	owned	supported	proved	measured	complete	declared	none	allow
manual_risk_review	complete	owned	supported	proved	accepted	complete	manual	none	allow
contradictory_requirement	contradictory	owned	supported	proved	accepted	complete	declared	none	typed-invalid
contradictory_owner	complete	contradictory	supported	proved	accepted	complete	declared	none	typed-invalid
unsupported_candidate	complete	owned	unsupported	proved	accepted	complete	declared	none	typed-unsupported
missing_requirement	missing	owned	supported	proved	accepted	complete	declared	none	typed-unavailable
unknown_owner	complete	unknown	supported	proved	accepted	complete	declared	none	typed-unavailable
missing_compatibility	complete	owned	supported	missing	accepted	complete	declared	none	typed-unavailable
missing_audit_evidence	complete	owned	supported	proved	accepted	missing	declared	none	typed-unavailable
line_count_matrix	complete	owned	supported	proved	accepted	complete	declared	line-count	typed-invalid
transitive_threshold	complete	owned	supported	proved	accepted	complete	declared	transitive-count	typed-invalid
standard_library_default	complete	owned	supported	proved	accepted	complete	declared	standard-library	typed-invalid
universal_lockfile	complete	owned	supported	proved	accepted	complete	declared	lockfile-default	typed-invalid
ambient_audit_tool	complete	owned	supported	proved	accepted	complete	ambient	ambient-tool	typed-invalid
fixed_ci_workflow	complete	owned	supported	proved	accepted	complete	fixed-ci	fixed-schedule	typed-invalid
resolver_selected_update	complete	owned	supported	proved	accepted	complete	declared	resolver-default	typed-invalid
tool_output_as_proof	complete	owned	supported	proved	accepted	tool-only	declared	tool-proof	typed-invalid
