case	workflow	identity	parent	lifecycle	terminal	context	channel	fallback	expected
single_boundary	single	not-required	not-required	synchronous	once	bounded	supported	none	allow
cross_boundary	cross-boundary	selected	valid	asynchronous	once	bounded	supported	none	allow
missing_identity	cross-boundary	missing	missing	asynchronous	once	bounded	supported	none	typed-unavailable
broken_parent	cross-boundary	selected	contradictory	asynchronous	once	bounded	supported	none	typed-invalid
duplicate_terminal	cross-boundary	selected	valid	asynchronous	duplicate	bounded	supported	none	typed-invalid
raw_context	cross-boundary	selected	valid	asynchronous	once	raw	supported	none	typed-invalid
unsupported_channel	cross-boundary	selected	valid	asynchronous	once	bounded	unsupported	none	typed-unsupported
logging_default	single	not-required	not-required	synchronous	once	bounded	supported	logging	typed-invalid
correlation_default	single	generated	not-required	synchronous	once	bounded	supported	correlation	typed-invalid
sync_for_async	cross-boundary	selected	valid	synchronous-wrapper	once	bounded	supported	none	typed-invalid
discard_required	cross-boundary	selected	valid	asynchronous	once	bounded	supported	discard	typed-invalid
