case	impact	boundary	owner	profile	fallback	expected
selected_boundary	changed	clear	clear	selected	none	route
preserved_knowledge	unchanged	clear	clear	not-needed	none	route
missing_impact	missing	clear	clear	selected	none	typed-unavailable
missing_boundary	changed	missing	clear	selected	none	typed-unavailable
missing_owner	changed	clear	missing	selected	none	typed-unavailable
missing_profile	changed	clear	clear	missing	none	typed-unavailable
contradictory_owner	changed	clear	contradictory	selected	none	typed-invalid
directory_count	changed	clear	clear	selected	directory-count	typed-invalid
src_path	changed	clear	clear	selected	src-path	typed-invalid
universal_readme	changed	clear	clear	selected	universal-readme	typed-invalid
unrelated_artifact	changed	clear	clear	selected	unrelated-artifact	typed-invalid
fixed_sections	changed	clear	clear	selected	fixed-sections	typed-invalid
legacy_restore	changed	clear	clear	selected	legacy-restore	typed-invalid
