case	facts	mapping	input	capability	fallback	expected
supported_staged	complete	complete	staged	supported	none	allow
supported_range	complete	complete	range	supported	none	allow
contradictory	contradictory	complete	staged	supported	none	typed-invalid
missing_mapping	complete	missing	staged	supported	none	typed-unavailable
missing_input	complete	complete	missing	supported	none	typed-unavailable
unsupported_state	complete	complete	staged	unsupported	none	typed-unsupported
directory_default	complete	complete	staged	supported	src-directory	typed-invalid
readme_default	complete	complete	staged	supported	readme-per-directory	typed-invalid
mode_default	complete	complete	staged	supported	staged-mode	typed-invalid
branch_default	complete	complete	range	supported	default-branch	typed-invalid
adjacent_default	complete	complete	range	supported	adjacent-revisions	typed-invalid
unrelated_artifact	complete	complete	staged	supported	unrelated-adr	typed-invalid
broad_map	complete	complete	staged	supported	broad-directory	typed-invalid
silent_skip	complete	complete	staged	supported	skip-unresolved	typed-invalid
