case	baseline	prior_transition	current_transition	current_completion	filesystem	expected
baseline_exists	exists	none	none	pending	exists	allow
pending_creation	missing	none	missing-to-exists	pending	missing	allow
completed_creation	missing	none	missing-to-exists	complete	exists	allow
inherited_creation	missing	complete	none	pending	exists	allow
inherited_pending_absent	missing	pending	none	pending	missing	allow
uncreated_absent	missing	none	none	pending	missing	allow
undeclared_created	missing	none	none	pending	exists	typed-invalid
premature_creation	missing	none	missing-to-exists	pending	exists	typed-invalid
completed_owner_missing	missing	none	missing-to-exists	complete	missing	typed-invalid
inherited_owner_missing	missing	complete	none	pending	missing	typed-invalid
inherited_pending_created	missing	pending	none	pending	exists	typed-invalid
duplicate_after_completion	missing	complete	missing-to-exists	pending	exists	typed-invalid
duplicate_while_pending	missing	pending	missing-to-exists	pending	missing	typed-invalid
transition_from_existing	exists	none	missing-to-exists	complete	exists	typed-invalid
inherited_transition_from_existing	exists	complete	none	pending	exists	typed-invalid
