case	scope	owner	identity	mechanism	start	terminal	cleanup	evidence	fallback	expected
timer_owned	selected	present	present	timer	selected	complete	complete	complete	none	allow
subscription_owned	selected	present	present	subscription	selected	complete	complete	complete	none	allow
observer_owned	selected	present	present	observer	selected	complete	complete	complete	none	allow
animation_owned	selected	present	present	animation	selected	complete	complete	complete	none	allow
superseded_classified	selected	present	present	timer	selected	superseded	complete	complete	none	allow
uncancellable_observed	selected	present	present	timer	selected	observed	complete	complete	none	allow
not_applicable	unselected	missing	missing	none	none	none	none	none	none	allow
missing_owner	selected	missing	present	timer	selected	complete	complete	complete	none	typed-unavailable
missing_identity	selected	present	missing	timer	selected	complete	complete	complete	none	typed-unavailable
missing_mechanism	selected	present	present	missing	selected	complete	complete	complete	none	typed-unavailable
missing_cleanup	selected	present	present	timer	selected	complete	missing	complete	none	typed-unavailable
missing_evidence	selected	present	present	timer	selected	complete	complete	missing	none	typed-unavailable
unsupported_mechanism	selected	present	present	unsupported	selected	complete	complete	complete	none	typed-unsupported
duplicate_work	selected	present	present	timer	selected	duplicate	complete	complete	none	typed-invalid
stale_application	selected	present	present	timer	selected	stale	complete	complete	none	typed-invalid
incomplete_cleanup	selected	present	present	timer	selected	complete	incomplete	complete	none	typed-invalid
unobserved_completion	selected	present	present	timer	selected	unobserved	complete	complete	none	typed-invalid
global_timer	selected	present	present	timer	selected	complete	complete	complete	global-timer	typed-invalid
fixed_cadence	selected	present	present	timer	selected	complete	complete	complete	fixed-cadence	typed-invalid
ref_holder_default	selected	present	present	timer	selected	complete	complete	complete	ref-holder	typed-invalid
state_holder_default	selected	present	present	timer	selected	complete	complete	complete	state-holder	typed-invalid
silent_stale_discard	selected	present	present	timer	selected	complete	complete	complete	silent-stale	typed-invalid
implicit_retry	selected	present	present	timer	selected	complete	complete	complete	retry	typed-invalid
detached_work	selected	present	present	timer	selected	complete	complete	complete	detached	typed-invalid
default_success	selected	present	present	timer	selected	complete	complete	complete	default-success	typed-invalid
