case	authority	source_contract	projection	interaction	lifecycle	fallback	expected
selected_projection	complete	complete	supported	complete	complete	none	route
presentation_local	presentation-local	not-applicable	supported	complete	complete	none	route
missing_authority	missing	complete	supported	complete	complete	none	typed-unavailable
missing_source_contract	complete	missing	supported	complete	complete	none	typed-unavailable
missing_interaction	complete	complete	supported	missing	complete	none	typed-unavailable
missing_lifecycle	complete	complete	supported	complete	missing	none	typed-unavailable
unsupported_projection	complete	complete	unsupported	complete	complete	none	typed-unsupported
contradictory_authority	contradictory	complete	supported	complete	complete	none	typed-invalid
class_fallback	complete	complete	supported	complete	complete	dedicated-class	typed-invalid
backend_location_fallback	complete	complete	supported	complete	complete	backend-location	typed-invalid
copied_state_fallback	complete	complete	supported	complete	complete	copied-state	typed-invalid
subscription_fallback	complete	complete	supported	complete	complete	fixed-subscription	typed-invalid
