case	affinity	dispatch	completion	lifetime	check_timing	evidence	fallback	expected
direct_main_thread	main	direct	observed	owned	at-use	complete	none	allow
deferred_observed	worker	deferred	observed	revalidated	at-use	complete	none	allow
dispatcher_observed	worker	dispatcher	observed	referenced	at-use	complete	none	allow
invalid_at_use	main	direct	observed	invalid	at-use	complete	none	typed-invalid
off_thread_direct	worker	direct	observed	owned	at-use	complete	none	typed-invalid
detached_deferred	worker	deferred	detached	revalidated	at-use	complete	none	typed-invalid
stale_precheck	worker	deferred	observed	checked	before-await	complete	none	typed-invalid
stale_reference	main	direct	observed	stale	at-use	complete	none	typed-invalid
missing_affinity	missing	dispatcher	observed	owned	at-use	complete	none	typed-unavailable
missing_lifetime	main	direct	observed	missing	at-use	complete	none	typed-unavailable
missing_evidence	worker	dispatcher	observed	revalidated	at-use	missing	none	typed-unavailable
unsupported_dispatch	worker	deferred	observed	revalidated	at-use	unsupported	none	typed-unsupported
alternate_dispatch	worker	dispatcher	observed	revalidated	at-use	complete	alternate-dispatch	typed-invalid
default_success	missing	deferred	detached	missing	before-await	missing	default-success	typed-invalid
