case	state	owner	surfaces	tracking	exit_criteria	review	production_stub	expected
removed	removed	known	complete	not-required	complete	not-required	none	allow
temporary_disabled	disabled	known	complete	available	complete	available	none	allow
incomplete_isolated	incomplete	known	complete	available	complete	available	test-only	allow
missing_owner	disabled	missing	complete	available	complete	available	none	typed-unavailable
missing_surfaces	disabled	known	missing	available	complete	available	none	typed-unavailable
missing_tracking	disabled	known	complete	missing	complete	available	none	typed-unavailable
missing_exit_criteria	disabled	known	complete	available	missing	available	none	typed-unavailable
missing_review	disabled	known	complete	available	complete	missing	none	typed-unavailable
registered_stub	incomplete	known	complete	available	complete	available	registered	typed-invalid
dummy_data	incomplete	known	complete	available	complete	available	dummy	typed-invalid
false_success	incomplete	known	complete	available	complete	available	false-success	typed-invalid
silent_noop	incomplete	known	complete	available	complete	available	no-op	typed-invalid
substitute_behavior	disabled	known	complete	available	complete	available	substitute	typed-invalid
unsupported_request	unsupported	known	complete	not-required	complete	not-required	none	typed-unsupported
invalid_transition	invalid	known	complete	available	complete	available	none	typed-invalid
