case	phase	provider_delivery	local_work	work_owner	input_scope	in_flight	unregister_action	unregister_contract	unregister_outcome	order_contract	selected_order	observed_order	release	capability	fallback	expected
pre-registration-ready	pre-registration	not-started	none	not-required	none	not-started	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	allow
pre-registration-capability-unavailable	pre-registration	not-started	none	not-required	none	not-started	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	unavailable	none	typed-unavailable
pre-registration-capability-unsupported	pre-registration	not-started	none	not-required	none	not-started	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	unsupported	none	typed-unsupported
pre-registration-unregistration-contract-missing	pre-registration	not-started	none	not-required	none	not-started	none	missing	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	typed-unavailable
pre-registration-order-contract-missing	pre-registration	not-started	none	not-required	none	not-started	none	selected	not-required	missing	not-required	not-required	not-required	available	none	typed-unavailable
active-synchronous-inline	active	synchronous	inline	callback-scope	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	allow
active-asynchronous-inline	active	asynchronous	inline	callback-scope	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	allow
active-synchronous-outliving	active	synchronous	outliving	concurrency-owner	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	allow
active-asynchronous-outliving	active	asynchronous	outliving	concurrency-owner	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	allow
outliving-work-without-owner	active	asynchronous	outliving	missing	current	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	none	typed-invalid
retained-prior-callback-input	active	synchronous	inline	callback-scope	retained-prior	none	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	not-required	available	carry-forward	typed-invalid
single-quiesce-before-unregister	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	none	allow
single-unregister-before-quiesce	unregistering	stopped	none	not-required	none	cancel-complete	single	selected	success	selected	unregister>delivery-stop>quiesce>release>provider-shutdown	unregister>delivery-stop>quiesce>release>provider-shutdown	complete	available	none	allow
release-before-provider-shutdown	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>unregister>quiesce>release>provider-shutdown	delivery-stop>unregister>quiesce>release>provider-shutdown	complete	available	none	allow
provider-shutdown-before-release	unregistering	stopped	none	not-required	none	cancel-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>provider-shutdown>release	delivery-stop>quiesce>unregister>provider-shutdown>release	complete	available	none	allow
repeated-provider-idempotent	unregistering	stopped	none	not-required	none	drain-complete	repeated	selected	provider-idempotent	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	none	allow
repeated-provider-rejection	unregistering	stopped	none	not-required	none	drain-complete	repeated	selected	provider-reject	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	none	preserve-provider-outcome
concurrent-shared-result	unregistering	stopped	none	not-required	none	cancel-complete	concurrent	selected	shared-result	selected	unregister>delivery-stop>quiesce>release>provider-shutdown	unregister>delivery-stop>quiesce>release>provider-shutdown	complete	available	none	allow
concurrent-provider-rejection	unregistering	stopped	none	not-required	none	cancel-complete	concurrent	selected	provider-reject	selected	delivery-stop>unregister>quiesce>release>provider-shutdown	delivery-stop>unregister>quiesce>release>provider-shutdown	complete	available	none	preserve-provider-outcome
repeated-contract-missing	unregistering	stopped	none	not-required	none	unknown	repeated	missing	unknown	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	incomplete	available	none	typed-incomplete
concurrent-contract-not-required	unregistering	stopped	none	not-required	none	unknown	concurrent	not-required	shared-result	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	incomplete	available	none	typed-incomplete
assumed-idempotent-unregistration	unregistering	stopped	none	not-required	none	drain-complete	repeated	selected	provider-idempotent	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	assume-idempotent	typed-invalid
universal-shutdown-order	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	delivery-stop>quiesce>unregister>release>provider-shutdown	complete	available	universal-order	typed-invalid
observed-order-mismatch	unregistering	stopped	none	not-required	none	drain-complete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	unregister>delivery-stop>quiesce>release>provider-shutdown	complete	available	none	typed-invalid
active-capability-unavailable	active	asynchronous	inline	callback-scope	current	unknown	none	selected	not-required	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	not-required	unavailable	unavailable	none	typed-incomplete
unregistering-capability-unsupported	unregistering	stopped	none	not-required	none	unknown	single	selected	unknown	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	unknown	incomplete	unsupported	none	typed-incomplete
in-flight-delivery-incomplete	unregistering	stopped	none	not-required	none	incomplete	single	selected	success	selected	delivery-stop>quiesce>unregister>release>provider-shutdown	incomplete	complete	available	none	typed-incomplete
