case	envelope	pair	schema	payload	metadata	producer_proof	extra_fields	dispatch	expected
valid_command	valid	supported	available	valid	valid	none	absent	validated-variant	allow
valid_event	valid	supported	available	valid	not-required	static-only	absent	validated-variant	allow
malformed_envelope	invalid	not-selected	not-selected	not-checked	not-required	none	absent	none	typed-invalid
unknown_category	valid	unknown-category	not-selected	not-checked	valid	none	absent	none	typed-unsupported
unknown_action	valid	unknown-action	not-selected	not-checked	valid	none	absent	none	typed-unsupported
mismatched_pair	valid	mismatch	not-selected	not-checked	valid	none	absent	none	typed-unsupported
missing_payload_field	valid	supported	available	missing-field	valid	none	absent	none	typed-invalid
wrong_payload_type	valid	supported	available	wrong-type	valid	none	absent	none	typed-invalid
extras_allowed	valid	supported	available	valid	valid	none	accepted	validated-variant	allow
extras_rejected	valid	supported	available	valid	valid	none	rejected	none	typed-invalid
extras_unspecified	valid	supported	available	valid	valid	none	unspecified	none	typed-invalid
invalid_correlation	valid	supported	available	valid	invalid	none	absent	none	typed-invalid
producer_only_typing	valid	supported	not-selected	not-checked	valid	static-only	absent	raw	typed-invalid
envelope_only_validation	valid	supported	not-selected	not-checked	valid	none	absent	raw	typed-invalid
schema_unavailable	valid	supported	unavailable	not-checked	valid	none	absent	none	typed-unavailable
raw_dispatch	valid	supported	available	valid	valid	none	absent	raw	typed-invalid
default_dispatch	valid	supported	available	valid	valid	none	absent	default	typed-invalid
