case	actual
framework_lift	allow
serialized_binding	allow
stable_abi	allow
opaque_handle	allow
process_ipc	allow
unsupported_requirement	typed-unsupported
wrong_in_process_mechanism	typed-invalid
process_without_ipc	typed-invalid
ipc_without_process	typed-invalid
lifecycle_mismatch	typed-invalid
missing_capability	typed-unavailable
missing_evidence	typed-unavailable
target_count_default	typed-invalid
host_label_default	typed-invalid
ui_technology_default	typed-invalid
alternate_framework	typed-invalid
alternate_abi	typed-invalid
alternate_serializer	typed-invalid
process_substitute	typed-invalid
default_success	typed-invalid
