case	mechanism	representation	schema	conversion	generated_logic	expected
valid_framework_lift	framework	declared	not-required	valid	absent	allow
valid_serialized_value	serialized	declared	valid	valid	absent	allow
valid_stable_abi	c-abi	declared	not-required	valid	absent	allow
valid_opaque_handle	opaque	declared	not-required	valid	absent	allow
valid_generated_wrapper	generated	declared	valid	valid	absent	allow
unknown_mechanism	unknown	undeclared	not-required	not-checked	absent	typed-unsupported
unsupported_value	framework	incompatible	not-required	not-checked	absent	typed-unsupported
capability_unavailable	unavailable	declared	unavailable	not-checked	absent	typed-unavailable
schema_unavailable	serialized	declared	unavailable	not-checked	absent	typed-unavailable
undeclared_representation	c-abi	undeclared	not-required	not-checked	absent	typed-invalid
invalid_schema	serialized	declared	invalid	not-checked	absent	typed-invalid
rejected_conversion	framework	declared	not-required	rejected	absent	typed-invalid
unchecked_conversion	c-abi	declared	not-required	not-checked	absent	typed-invalid
generated_business_logic	generated	declared	valid	valid	present	typed-invalid
