case	schema	serializer	shape	consumer	variant	capability	evidence	fallback	expected
tagged_round_trip	selected	selected	complete	aligned	supported	available	round-trip	none	allow
renamed_variant	selected	selected	complete	aligned	supported	available	round-trip	none	allow
renamed_field	selected	selected	complete	aligned	supported	available	round-trip	none	allow
one_way_contract	selected	selected	complete	aligned	supported	available	one-way-consumer	none	allow
schema_missing	missing	selected	complete	missing	supported	unavailable	missing	none	typed-unavailable
serializer_missing	selected	missing	complete	missing	supported	unavailable	missing	none	typed-unavailable
shape_incomplete	selected	selected	incomplete	aligned	supported	available	round-trip	none	typed-invalid
shape_contradictory	selected	selected	contradictory	aligned	supported	available	round-trip	none	typed-invalid
consumer_missing	selected	selected	complete	missing	supported	available	producer-only	none	typed-unavailable
consumer_mismatch	selected	selected	complete	mismatch	supported	available	round-trip	none	typed-invalid
malformed_variant	selected	selected	complete	aligned	malformed	available	round-trip	none	typed-invalid
unsupported_variant	selected	selected	complete	aligned	unsupported	available	round-trip	none	typed-unsupported
capability_missing	selected	selected	complete	aligned	supported	unavailable	missing	none	typed-unavailable
default_shape	selected	selected	incomplete	aligned	supported	available	round-trip	default-shape	typed-invalid
schema_free	selected	selected	incomplete	aligned	supported	available	round-trip	schema-free	typed-invalid
omit_variant	selected	selected	complete	aligned	unsupported	available	round-trip	omit-variant	typed-invalid
alternate_serializer	selected	selected	complete	mismatch	supported	available	round-trip	alternate-serializer	typed-invalid
weaker_evidence	selected	selected	complete	aligned	supported	available	producer-only	weaker-evidence	typed-invalid
