case	consumer	selection	semantics	support	host_subset	documentation	compatibility	evidence	fallback	expected
public_selected	declared	selected	core	declared	declared	complete	declared	complete	none	expose
adapter_selected	declared	selected	adapter	declared	declared	complete	declared	complete	none	expose
internal_selected	declared	selected	core	not-public	declared	complete	declared	complete	none	expose
declared_subset	declared	selected	core	declared	declared	complete	declared	complete	none	expose
deliberately_omitted	declared	not-selected	unknown	missing	missing	missing	missing	missing	none	omit
missing_consumer	missing	selected	core	declared	declared	complete	declared	complete	none	typed-unavailable
missing_selection	declared	missing	core	declared	declared	complete	declared	complete	none	typed-unavailable
unknown_owner	declared	selected	unknown	declared	declared	complete	declared	complete	none	typed-invalid
missing_support	declared	selected	core	missing	declared	complete	declared	complete	none	typed-unavailable
missing_host_subset	declared	selected	core	declared	missing	complete	declared	complete	none	typed-unavailable
missing_documentation	declared	selected	core	declared	declared	missing	declared	complete	none	typed-unavailable
missing_compatibility	declared	selected	core	declared	declared	complete	missing	complete	none	typed-unavailable
missing_evidence	declared	selected	core	declared	declared	complete	declared	missing	none	typed-unavailable
export_all	declared	selected	core	declared	declared	complete	declared	complete	export-all	typed-invalid
fixed_tiers	declared	selected	core	declared	declared	complete	declared	complete	fixed-tiers	typed-invalid
forced_parity	declared	selected	core	declared	declared	complete	declared	complete	force-parity	typed-invalid
wrapper_semantics	declared	selected	adapter	declared	declared	complete	declared	complete	wrapper-semantics	typed-invalid
native_only	declared	selected	core	declared	declared	complete	declared	complete	native-only	typed-invalid
default_success	missing	selected	unknown	missing	missing	missing	missing	missing	default-success	typed-invalid
