case	actual
public_selected	expose
adapter_selected	expose
internal_selected	expose
declared_subset	expose
deliberately_omitted	omit
missing_consumer	typed-unavailable
missing_selection	typed-unavailable
unknown_owner	typed-invalid
missing_support	typed-unavailable
missing_host_subset	typed-unavailable
missing_documentation	typed-unavailable
missing_compatibility	typed-unavailable
missing_evidence	typed-unavailable
export_all	typed-invalid
fixed_tiers	typed-invalid
forced_parity	typed-invalid
wrapper_semantics	typed-invalid
native_only	typed-invalid
default_success	typed-invalid
