case	durable_scope	invariant	source	destination	capability	staging	publication	proof	fallback	expected
selected_atomic_publication	selected	selected	known	known	supported	isolated	complete	production	none	allow
selected_direct_atomic_write	selected	selected	known	known	supported	not-required	complete	production	none	allow
ephemeral_mutation	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	none	allow
missing_invariant	selected	missing	known	known	supported	isolated	complete	production	none	typed-unavailable
missing_source	selected	selected	missing	known	supported	isolated	complete	production	none	typed-unavailable
missing_destination	selected	selected	known	missing	supported	isolated	complete	production	none	typed-unavailable
missing_capability	selected	selected	known	known	missing	isolated	complete	production	none	typed-unavailable
unknown_publication	selected	selected	known	known	supported	isolated	unknown	production	none	typed-unavailable
missing_proof	selected	selected	known	known	supported	isolated	complete	missing	none	typed-unavailable
unsupported_mechanism	selected	selected	known	known	unsupported	isolated	complete	production	none	typed-unsupported
authoritative_staging	selected	selected	known	known	supported	authoritative	complete	production	none	typed-invalid
partial_publication	selected	selected	known	known	supported	isolated	partial	production	none	typed-invalid
debug_only_proof	selected	selected	known	known	supported	isolated	complete	debug-only	none	typed-invalid
incomplete_proof	selected	selected	known	known	supported	isolated	complete	incomplete	none	typed-invalid
fixed_phase_fallback	selected	selected	known	known	supported	isolated	complete	production	fixed-phases	typed-invalid
placeholder_fallback	selected	selected	known	known	supported	isolated	complete	production	placeholder	typed-invalid
append_only_fallback	selected	selected	known	known	supported	isolated	complete	production	append-only	typed-invalid
undo_fallback	selected	selected	known	known	supported	isolated	complete	production	undo	typed-invalid
interleaved_fallback	selected	selected	known	known	supported	isolated	complete	production	interleaved	typed-invalid
