case	selection	source	destination	artifact	identity	integrity	order	ledger	coordination	reentry	interruption	overlap	trigger	capability	fallback	expected
selected_manual	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	allow
selected_startup_adapter	selected	supported	supported	available	matched	verified	explicit	consistent	selected	proven-idempotent	resolved	selected	selected-startup	supported	none	allow
no_migration	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	none	allow
missing_artifact	selected	supported	supported	missing	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_identity	selected	supported	supported	available	missing	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_integrity	selected	supported	supported	available	matched	missing	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_order	selected	supported	supported	available	matched	verified	missing	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_ledger	selected	supported	supported	available	matched	verified	explicit	missing	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_coordination	selected	supported	supported	available	matched	verified	explicit	consistent	missing	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unavailable
missing_capability	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	missing	none	typed-unavailable
unsupported_source	selected	unsupported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unsupported
unsupported_destination	selected	supported	unsupported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-unsupported
unsupported_mechanism	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	unsupported	none	typed-unsupported
identity_mismatch	selected	supported	supported	available	mismatched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-invalid
integrity_failure	selected	supported	supported	available	matched	failed	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-invalid
guessed_order	selected	supported	supported	available	matched	verified	guessed	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-invalid
contradictory_ledger	selected	supported	supported	available	matched	verified	explicit	contradictory	selected	one-shot-new	resolved	not-required	selected-manual	supported	none	typed-invalid
unproven_repeat	selected	supported	supported	available	matched	verified	explicit	consistent	selected	repeated-unproven	resolved	not-required	selected-manual	supported	none	typed-invalid
unknown_interruption	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	unknown-partial	not-required	selected-manual	supported	none	typed-invalid
speculative_overlap	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	speculative	selected-manual	supported	none	typed-invalid
implicit_startup	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	implicit-startup	supported	none	typed-invalid
rollback_fallback	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	rollback	typed-invalid
rebuild_fallback	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	rebuild	typed-invalid
additive_safe_fallback	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	additive-safe	typed-invalid
coexistence_fallback	selected	supported	supported	available	matched	verified	explicit	consistent	selected	one-shot-new	resolved	not-required	selected-manual	supported	coexistence	typed-invalid
