case	durable_scope	authority	source	destination	invariant	capability	version	coordination	evidence	publication	state	fallback	expected
selected_boundary	selected	selected	known	known	selected	supported	supported	selected	complete	complete	consistent	none	allow
ephemeral_state	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	not-required	consistent	none	allow
missing_authority	selected	missing	known	known	selected	supported	supported	selected	complete	complete	consistent	none	typed-unavailable
missing_source	selected	selected	missing	known	selected	supported	supported	selected	complete	complete	consistent	none	typed-unavailable
missing_destination	selected	selected	known	missing	selected	supported	supported	selected	complete	complete	consistent	none	typed-unavailable
missing_invariant	selected	selected	known	known	missing	supported	supported	selected	complete	complete	consistent	none	typed-unavailable
missing_capability	selected	selected	known	known	selected	missing	supported	selected	complete	complete	consistent	none	typed-unavailable
missing_coordination	selected	selected	known	known	selected	supported	supported	missing	complete	complete	consistent	none	typed-unavailable
missing_evidence	selected	selected	known	known	selected	supported	supported	selected	missing	complete	consistent	none	typed-unavailable
partial_publication	selected	selected	known	known	selected	supported	supported	selected	complete	partial	consistent	none	typed-invalid
contradictory_state	selected	selected	known	known	selected	supported	supported	selected	complete	complete	contradictory	none	typed-invalid
corrupt_state	selected	selected	known	known	selected	supported	supported	selected	complete	complete	corrupt	none	typed-invalid
incomplete_proof	selected	selected	known	known	selected	supported	supported	selected	incomplete	complete	consistent	none	typed-invalid
unsupported_version	selected	selected	known	known	selected	supported	unsupported	selected	complete	complete	consistent	none	typed-unsupported
unsupported_mechanism	selected	selected	known	known	selected	unsupported	supported	selected	complete	complete	consistent	none	typed-unsupported
partial_write_fallback	selected	selected	known	known	selected	supported	supported	selected	complete	complete	consistent	partial-write	typed-invalid
rebuild_fallback	selected	selected	known	known	selected	supported	supported	selected	complete	complete	consistent	rebuild	typed-invalid
startup_fallback	selected	selected	known	known	selected	supported	supported	selected	complete	complete	consistent	startup	typed-invalid
weaker_store_fallback	selected	selected	known	known	selected	supported	supported	selected	complete	complete	consistent	weaker-store	typed-invalid
