case	path	operation	state	linked_artifacts	fallback	expected
start-planned	valid	start	Planned	complete	none	allow
continue-active	valid	continue	Active	complete	none	allow
verify-implemented	valid	verify	Implemented	complete	none	allow
verify-verifying	valid	verify	Verifying	complete	none	allow
missing-plan	missing	continue	Active	complete	none	typed-unavailable
escaping-plan	escape	continue	Active	complete	none	typed-invalid
missing-operation	valid	missing	Active	complete	none	typed-unavailable
state-mismatch	valid	start	Active	complete	none	typed-invalid
blocked-plan	valid	continue	Blocked	complete	none	typed-unavailable
deferred-plan	valid	continue	Deferred	complete	none	typed-unavailable
terminal-plan	valid	continue	Accepted	complete	none	typed-invalid
superseded-plan	valid	continue	Superseded	complete	none	typed-invalid
missing-linked-artifact	valid	continue	Active	missing	none	typed-unavailable
scan-fallback	missing	continue	Active	complete	scan	typed-invalid
inferred-operation	valid	missing	Active	complete	infer	typed-invalid
