case	revision	compatibility	mechanism	fallback	expected
current-compatible	current	compatible	supported	none	allow
stale-revision	stale	compatible	supported	none	stale
missing-revision	missing	compatible	supported	none	unavailable
overlapping-write	current	overlap	supported	none	conflicting
contradictory-outcome	current	contradictory	supported	none	conflicting
unmet-prerequisite	current	dependency-blocked	supported	none	dependency-blocked
unsupported-mechanism	current	compatible	unsupported	none	unsupported
latest-wins	stale	compatible	supported	latest-wins	invalid
automatic-merge	stale	compatible	supported	auto-merge	invalid
automatic-retry	stale	compatible	supported	retry	invalid
