case	release_contract	roles	composition	identity	relationships	consumer_info	evidence	fallback	expected
separate_native_and_host	declared	complete	separate	product	complete	complete	complete	none	allow
selected_bundle	declared	complete	bundled	ecosystem	complete	complete	complete	none	allow
mixed_channels	declared	complete	mixed	ecosystem	complete	complete	complete	none	allow
native_only_release	declared	complete	native-only	product	not-required	complete	complete	none	allow
host_only_source_package	declared	complete	host-only	ecosystem	not-required	complete	complete	none	allow
no_binding_artifact	declared	complete	none	product	not-required	not-required	complete	none	allow
missing_release_contract	missing	complete	separate	product	complete	complete	complete	none	typed-unavailable
contradictory_release_contract	contradictory	complete	separate	product	complete	complete	complete	none	typed-invalid
missing_roles	declared	missing	separate	product	complete	complete	complete	none	typed-unavailable
contradictory_roles	declared	contradictory	separate	product	complete	complete	complete	none	typed-invalid
unknown_composition	declared	complete	unknown	product	complete	complete	complete	none	typed-unavailable
framework_identity	declared	complete	separate	framework-default	complete	complete	complete	none	typed-invalid
ambiguous_identity	declared	complete	separate	ambiguous	complete	complete	complete	none	typed-invalid
missing_identity	declared	complete	separate	missing	complete	complete	complete	none	typed-unavailable
missing_relationships	declared	complete	separate	product	missing	complete	complete	none	typed-unavailable
missing_consumer_info	declared	complete	separate	product	complete	missing	complete	none	typed-unavailable
missing_evidence	declared	complete	separate	product	complete	complete	missing	none	typed-unavailable
one_native_default	declared	complete	separate	product	complete	complete	complete	one-native-per-target	typed-invalid
separate_package_default	declared	complete	separate	product	complete	complete	complete	separate-default	typed-invalid
bundle_default	declared	complete	bundled	product	complete	complete	complete	bundle-default	typed-invalid
example_name_default	declared	complete	separate	product	complete	complete	complete	example-names	typed-invalid
publish_internal_input	declared	complete	separate	product	complete	complete	complete	publish-input	typed-invalid
default_success	declared	complete	unknown	missing	missing	missing	missing	default-success	typed-invalid
