case	actual
separate_native_and_host	allow
selected_bundle	allow
mixed_channels	allow
native_only_release	allow
host_only_source_package	allow
no_binding_artifact	allow
missing_release_contract	typed-unavailable
contradictory_release_contract	typed-invalid
missing_roles	typed-unavailable
contradictory_roles	typed-invalid
unknown_composition	typed-unavailable
framework_identity	typed-invalid
ambiguous_identity	typed-invalid
missing_identity	typed-unavailable
missing_relationships	typed-unavailable
missing_consumer_info	typed-unavailable
missing_evidence	typed-unavailable
one_native_default	typed-invalid
separate_package_default	typed-invalid
bundle_default	typed-invalid
example_name_default	typed-invalid
publish_internal_input	typed-invalid
default_success	typed-invalid
