case	artifact_plan	authority	generator	toolchain	claims	outputs	evidence	fallback	expected
accepted_procedure	accepted	selected	selected	pinned	complete	complete	complete	none	allow
missing_artifact_plan	missing	selected	selected	pinned	complete	complete	complete	none	typed-unavailable
missing_authority	accepted	missing	selected	pinned	complete	complete	complete	none	typed-unavailable
missing_generator	accepted	selected	missing	pinned	complete	complete	complete	none	typed-unavailable
missing_toolchain	accepted	selected	selected	missing	complete	complete	complete	none	typed-unavailable
missing_claims	accepted	selected	selected	pinned	missing	complete	complete	none	typed-unavailable
missing_outputs	accepted	selected	selected	pinned	complete	missing	complete	none	typed-unavailable
missing_evidence	accepted	selected	selected	pinned	complete	complete	missing	none	typed-unavailable
alternate_generator	accepted	selected	selected	pinned	complete	complete	complete	alternate-generator	typed-invalid
compiled_default	accepted	compiled-artifact	selected	pinned	complete	complete	complete	none	typed-invalid
default_success	missing	missing	missing	missing	missing	missing	missing	default-success	typed-invalid
