case	artifact	target	mode	toolchain	procedure	evidence	fallback	expected
planned_build	declared	declared	declared	available	selected	complete	none	allow
no_build_artifact	none	not-applicable	not-applicable	not-needed	not-needed	complete	none	allow
contradictory_artifact	contradictory	declared	declared	available	selected	complete	none	typed-invalid
missing_artifact	missing	declared	declared	available	selected	complete	none	typed-unavailable
missing_target	declared	missing	declared	available	selected	complete	none	typed-unavailable
missing_mode	declared	declared	missing	available	selected	complete	none	typed-unavailable
missing_toolchain	declared	declared	declared	missing	selected	complete	none	typed-unavailable
missing_procedure	declared	declared	declared	available	missing	complete	none	typed-unavailable
missing_evidence	declared	declared	declared	available	selected	missing	none	typed-unavailable
fixed_modes	declared	declared	declared	available	selected	complete	fixed-pair	typed-invalid
guessed_target	declared	declared	declared	available	selected	complete	guess-target	typed-invalid
implicit_compile	declared	declared	declared	available	selected	complete	implicit-build	typed-invalid
development_substitute	declared	declared	declared	available	selected	complete	dev-substitute	typed-invalid
successful_noop	none	not-applicable	not-applicable	not-needed	not-needed	complete	successful-noop	typed-invalid
