case	release_contract	channel	identity	target	consumer_info	evidence	fallback	expected
registry_package	declared	registry	exact	exact	complete	matched	none	allow
archive_download	declared	archive	exact	exact	complete	matched	none	allow
installer_delivery	declared	installer	exact	exact	complete	matched	none	allow
system_package	declared	system	exact	exact	complete	matched	none	allow
internal_coordinated	declared	internal	exact	exact	not-required	matched	none	allow
missing_contract	missing	registry	exact	exact	complete	matched	none	typed-unavailable
contradictory_contract	contradictory	registry	exact	exact	complete	matched	none	typed-invalid
unknown_channel	declared	unknown	exact	exact	complete	matched	none	typed-unavailable
missing_identity	declared	registry	missing	exact	complete	matched	none	typed-unavailable
ambiguous_identity	declared	registry	ambiguous	exact	complete	matched	none	typed-invalid
unknown_target	declared	registry	exact	unknown	complete	matched	none	typed-unavailable
unsupported_target	declared	registry	exact	unsupported	complete	matched	none	typed-unsupported
missing_consumer_info	declared	registry	exact	exact	missing	matched	none	typed-unavailable
missing_evidence	declared	registry	exact	exact	complete	missing	none	typed-unavailable
os_filename_default	declared	archive	exact	exact	complete	matched	os-filename	typed-invalid
class_local_docs	declared	archive	exact	exact	complete	matched	platform-class-doc	typed-invalid
ambient_package	declared	system	exact	exact	complete	matched	ambient-package	typed-invalid
alternate_artifact	declared	registry	exact	exact	complete	matched	alternate-artifact	typed-invalid
default_success	missing	unknown	missing	unknown	missing	missing	default-success	typed-invalid
