case	actual
registry_package	allow
archive_download	allow
installer_delivery	allow
system_package	allow
internal_coordinated	allow
missing_contract	typed-unavailable
contradictory_contract	typed-invalid
unknown_channel	typed-unavailable
missing_identity	typed-unavailable
ambiguous_identity	typed-invalid
unknown_target	typed-unavailable
unsupported_target	typed-unsupported
missing_consumer_info	typed-unavailable
missing_evidence	typed-unavailable
os_filename_default	typed-invalid
class_local_docs	typed-invalid
ambient_package	typed-invalid
alternate_artifact	typed-invalid
default_success	typed-invalid
